"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №372"	
1784	1658	1184	1902	1539	2567	1291	1016	2146	1353	1568	786	1665	1234	2360	740	761	1823	2386	1415	2550	901	1060	2260	2656	2166	2346	884	1919	1963	2525	2630	2879	2710	1793	1531	2025	757	2454	892	1785	805	1576	1589	1265	1265	1889	2005	2636	2180	1527	1575	807	890	2646	1657	1614	2007	1320	1745	500	350	70	180	180	300	250	200	600	500	
1800	1600	1100	1930	1400	2500	1200	1000	2100	1300	1640	780	1650	1200	2300	740	750	1850	2430	1430	2400	900	1050	2300	2600	2100	2300	900	1800	2000	2500	2600	2800	2700	1820	1500	2050	750	2400	890	1750	800	1600	1690	1250	1250	1850	2000	2600	2100	1500	1550	800	890	2680	1600	1600	2000	1300	1770	500	350	70	180	180	300	250	200	600	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1339	1339	1040	1424	1348	2265	1014	988	1479	1260	1424	685	1387	1110	2242	714	736	1685	2263	1200	2184	884	936	1933	2307	1906	2105	794	1545	1961	2411	2390	2512	2535	1165	1409	1709	719	2218	858	1644	785	1518	1565	1210	1176	1736	1818	2557	1570	1358	1415	780	781	1913	1413	1270	1984	990	1213	463	350	70	180	180	300	250	200	600	500	
234	103	50	300	29	148	122	8	450	9	144	88	132	30	41	20	10	27	37	42	45	16	103	154	92	194	14	6	2	2	85	52	164	165	402	19	23	30	38	32	29	13	20	0	30	14	100	50	31	350	68	98	20	50	323	120	240	12	295	101	37	0	0	0	0	0	0	0	0	0	
227	158	10	206	23	87	64	4	171	31	72	7	131	60	17	6	4	138	130	188	171	0	11	213	201	0	181	100	253	37	4	158	124	0	253	72	318	1	144	0	77	2	62	125	10	60	14	132	12	180	74	37	0	59	444	67	90	4	15	456	0	0	0	0	0	0	0	0	0	0	
234	103	50	300	29	148	122	8	450	9	144	88	132	30	41	20	10	27	37	42	45	16	103	154	92	194	14	6	2	2	85	52	164	165	402	19	23	30	38	32	29	13	20	0	30	14	100	50	31	350	68	98	20	50	323	120	240	12	295	101	37	0	0	0	0	0	0	0	0	0	
1339	1339	1040	1424	1348	2265	1014	988	1479	1260	1424	685	1387	1110	2242	714	736	1685	2263	1200	2184	884	936	1933	2307	1906	2105	794	1545	1961	2411	2390	2512	2535	1165	1409	1709	719	2218	858	1644	785	1518	1565	1210	1176	1736	1818	2557	1570	1358	1415	780	781	1913	1413	1270	1984	990	1213	463	350	70	180	180	300	250	200	600	500	
21	0	0	31	16	0	0	0	0	7	36	10	0	0	7	16	0	36	54	30	34	0	0	44	0	0	9	11	19	15	0	0	0	11	25	23	44	4	0	14	3	10	37	33	11	9	0	0	0	0	11	0	0	5	32	45	0	1	0	23	11	4	0	0	0	0	0	0	0	0	
1552	1442	1090	1693	1361	2413	1136	996	1929	1262	1532	763	1519	1140	2276	718	746	1676	2246	1212	2195	900	1039	2043	2399	2100	2110	789	1528	1948	2496	2442	2676	2689	1542	1405	1688	745	2256	876	1670	788	1501	1532	1229	1181	1836	1868	2588	1920	1415	1513	800	826	2204	1488	1510	1995	1285	1291	489	346	70	180	180	300	250	200	600	500	
