"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	
1974	1865	1546	1620	1893	2560	
2000	1910	1680	1640	1970	2800	
0	0	0	0	0	0	
1037	1048	836	790	955	1452	
33	74	45	95	27	37	
930	788	799	755	988	1311	
33	74	45	95	27	37	
1037	1048	836	790	955	1452	
13	7	8	10	9	17	
1057	1115	873	875	973	1472	
0	0	0	0	0	0	
0	0	0	0	0	0	

8	5	3	4	2	4	
259	279	229	195	210	381	
61	33	26	70	76	46	
684	743	584	577	649	967	
23	35	14	13	25	42	
7	5	5	7	3	8	
6	5	3	6	3	9	
9	10	9	3	5	15	
