"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	
3468	3161	2823	2394	2493	1954	2421	1661	2115	2326	2406	2612	2589	2665	2493	2377	1953	2678	544	2137	2662	2304	2587	1488	1952	2230	345	878	1223	1993	2386	2593	2567	1362	676	2595	1237	947	2602	2105	2703	1753	444	1710	1096	429	557	617	2680	1364	607	2710	1678	945	598	1057	1401	2491	2670	1539	2143	759	1671	2556	2486	3020	2718	2195	2010	2230	1846	1692	1691	2512	689	
3142	2948	2806	2239	2484	1650	2000	1550	1750	2243	2150	2350	2150	2100	2517	2000	1736	2593	450	1946	2550	2250	2450	1550	1850	2150	400	890	1220	2000	2333	2561	2600	1250	660	2500	1200	900	2500	2200	2700	1800	450	1650	1050	430	654	630	2451	1350	607	2400	1600	900	650	950	1300	2300	2550	1450	1980	750	1700	2450	2400	2670	2400	2100	1900	2150	1750	1550	1426	2100	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2120	2194	1701	1530	1893	1142	1659	1160	1178	1740	1545	2287	2068	1555	1891	1962	1146	2039	315	1383	1652	1611	2283	1370	1628	1232	331	775	1176	1618	1944	2210	2028	1082	561	1999	1046	587	1573	1618	1701	1049	397	1537	953	394	432	512	2108	1242	531	1552	1600	525	564	663	1184	1380	1535	882	1625	600	1332	2189	2060	1790	2087	1716	1711	1577	1546	1450	1042	2061	492	
362	42	85	50	151	45	37	38	18	20	22	33	78	13	26	38	18	22	36	32	164	46	98	44	32	75	0	39	27	57	53	46	84	69	54	166	14	34	75	115	85	139	16	91	47	30	109	83	29	88	65	42	0	78	23	57	91	141	76	61	36	150	106	46	21	99	79	42	40	72	27	73	22	34	11	
660	712	1020	659	440	463	304	352	554	483	583	30	4	532	600	0	572	532	99	531	734	593	69	136	190	843	69	76	17	325	336	305	488	99	45	335	140	279	852	467	914	612	37	22	50	6	113	35	314	20	11	806	0	297	63	230	25	779	939	507	319	0	262	215	319	781	234	342	149	501	177	27	362	5	97	
362	42	85	50	151	45	37	38	18	20	22	33	78	13	26	38	18	22	36	32	164	46	98	44	32	75	0	39	27	57	53	46	84	69	54	166	14	34	75	115	85	139	16	91	47	30	109	83	29	88	65	42	0	78	23	57	91	141	76	61	36	150	106	46	21	99	79	42	40	72	27	73	22	34	11	
2119	2189	1697	1530	1893	1139	1657	1158	1178	1740	1545	2286	2065	1555	1890	1962	1146	2039	315	1376	1652	1611	2283	1370	1628	1226	331	775	1176	1615	1939	2210	2025	1082	561	1998	1043	587	1570	1618	1701	1049	397	1537	951	394	432	512	2105	1241	531	1551	1600	525	564	663	1180	1380	1535	882	1625	600	1326	2189	2060	1780	2084	1716	1711	1577	1544	1448	1042	2059	492	
24	19	16	13	13	9	9	10	12	17	12	16	8	14	17	17	17	23	6	20	17	18	19	20	0	10	0	1	0	13	19	22	12	24	71	13	13	6	9	1	25	15	0	0	1	2	1	4	14	5	1	5	0	7	0	2	10	21	21	2	0	0	7	3	15	9	15	10	5	23	1	19	10	5	3	
2457	2212	1766	1567	2031	1175	1685	1186	1184	1743	1555	2303	2135	1554	1899	1983	1147	2038	345	1388	1799	1639	2362	1394	1660	1291	331	813	1203	1659	1973	2234	2097	1127	544	2151	1044	615	1636	1732	1761	1173	413	1628	997	422	540	591	2120	1324	595	1588	1600	596	587	718	1261	1500	1590	941	1661	750	1425	2232	2066	1870	2148	1748	1746	1626	1570	1502	1054	2088	500	
