"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	
2058	2276	1059	1967	1329	790	1531	1777	2116	2426	1109	1895	1746	417	398	262	199	180	119	742	246	187	199	1541	1600	277	264	305	266	106	211	
2150	2300	1050	2100	1350	800	1550	1800	2150	2300	1150	1950	1800	425	400	275	200	175	125	750	200	175	200	1450	1650	325	275	325	275	100	225	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1369	1387	679	1262	796	419	1002	1222	1354	1389	767	1203	1182	289	243	167	167	131	91	464	173	145	134	1105	1201	219	176	206	182	69	105	
180	117	45	126	137	222	74	80	117	276	29	174	142	89	63	58	18	32	17	117	25	29	46	37	11	31	33	41	36	24	56	
601	796	326	712	417	159	474	498	679	635	354	573	476	47	94	50	15	12	17	169	2	1	20	308	438	75	66	78	57	7	64	
180	117	45	126	137	222	74	80	117	276	29	174	142	89	63	58	18	32	17	117	25	29	46	37	11	31	33	41	36	24	56	
1368	1387	679	1262	796	419	1002	1222	1354	1389	767	1203	1182	289	243	167	167	131	91	464	173	145	134	1104	1201	219	176	206	182	69	105	
18	15	9	19	8	6	8	18	11	12	10	21	22	3	5	6	1	0	1	6	0	1	0	22	14	3	3	4	1	0	5	
1530	1489	715	1369	925	635	1068	1284	1460	1653	786	1356	1302	375	301	219	184	163	107	575	198	173	180	1119	1198	247	206	243	217	93	156	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	10	5	7	3	1	10	12	9	12	8	7	12	4	3	1	1	1	0	2	0	0	0	4	6	1	1	0	0	1	0	
268	285	134	243	149	76	167	192	235	256	157	230	175	45	42	29	24	26	13	70	16	20	12	99	123	31	19	19	26	6	33	
105	114	44	93	68	44	71	101	120	98	47	111	103	34	9	13	10	12	4	47	22	5	15	98	99	18	7	11	12	17	7	
1110	1046	515	986	680	504	793	953	1056	1241	560	976	981	287	244	169	146	123	87	445	157	148	150	876	936	194	176	212	176	69	116	
8	18	7	11	8	2	6	7	15	14	2	8	11	0	2	0	0	1	0	5	1	0	1	18	15	2	2	0	0	0	0	
6	7	7	14	6	6	7	5	14	11	5	18	14	4	0	6	3	0	0	2	2	0	2	16	12	1	1	0	1	0	0	
9	4	2	8	5	0	7	6	6	6	5	4	3	1	1	0	0	0	1	1	0	0	0	4	4	0	0	1	0	0	0	
6	5	1	7	6	2	7	8	5	15	2	2	3	0	0	1	0	0	2	3	0	0	0	4	3	0	0	0	2	0	0	
