"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	
296	1547	310	249	39	140	276	
345	1520	365	315	40	165	305	
0	0	7	3	0	0	1	
230	1019	222	189	31	107	218	
10	75	18	8	0	3	6	
105	426	118	115	9	55	80	
10	75	25	11	0	3	7	
230	1019	222	189	31	107	218	
1	8	0	1	0	0	1	
239	1086	247	199	31	110	224	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

1	4	0	0	1	0	0	
84	165	67	12	4	33	36	
3	54	11	2	0	3	4	
147	832	162	181	26	71	173	
2	14	4	3	0	3	9	
0	5	2	0	0	0	1	
0	7	1	1	0	0	1	
2	5	0	0	0	0	0	
