"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	
1042	1166	645	1922	867	761	536	1365	1872	1611	822	227	759	696	93	131	1653	830	808	140	288	972	385	193	203	1564	445	282	932	1894	789	1028	332	552	157	838	277	1108	888	291	205	724	937	99	126	774	150	1012	
1070	1190	669	1950	890	770	529	1360	1920	1640	830	230	770	700	93	134	1690	850	850	144	289	990	400	191	215	1600	472	285	950	1900	790	1050	340	550	160	800	280	1130	920	282	196	740	950	102	126	800	145	1030	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
525	559	455	1061	481	385	287	717	1108	791	386	151	377	390	55	80	1064	560	525	105	182	666	297	141	100	830	256	172	581	867	436	501	166	374	70	593	157	607	463	183	144	353	457	70	65	500	105	742	
30	35	7	20	18	17	9	48	43	22	63	9	32	41	7	15	72	63	34	0	19	57	26	2	9	67	18	13	75	363	28	32	22	9	10	27	39	42	44	35	14	20	57	0	2	42	17	9	
515	596	207	869	391	368	233	595	769	827	381	70	361	269	31	39	554	227	291	39	88	267	77	48	106	703	198	100	294	670	326	517	152	167	80	180	84	481	413	64	38	367	436	32	59	258	23	279	
30	35	7	20	18	17	9	48	43	22	63	9	32	41	7	15	72	63	34	0	19	57	26	2	9	67	18	13	75	363	27	32	22	9	10	27	39	42	44	35	14	20	57	0	2	42	17	9	
525	559	455	1061	481	385	287	717	1108	791	386	151	377	390	55	80	1064	560	525	105	182	666	297	141	100	830	256	172	581	867	436	501	166	374	70	593	157	607	463	183	144	353	457	70	65	500	105	742	
13	7	5	15	7	5	5	14	12	13	4	0	3	6	1	0	9	2	1	0	1	4	7	2	0	13	1	3	6	18	6	5	4	4	1	6	0	3	10	2	2	6	8	0	0	10	0	12	
542	587	457	1066	492	397	291	751	1139	800	445	160	406	425	61	95	1127	621	558	105	200	719	316	141	109	884	273	182	650	1212	457	528	184	379	79	614	196	646	497	216	156	367	506	70	67	532	122	739	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	5	3	5	2	1	2	5	3	8	4	0	0	0	0	0	7	0	4	1	0	3	1	1	1	2	0	1	7	8	2	2	1	5	0	4	0	6	0	0	0	3	5	1	0	1	0	2	
135	125	52	151	99	75	57	139	194	182	37	14	52	72	2	6	186	31	51	10	12	141	31	12	14	164	41	16	73	125	80	89	10	39	6	66	27	112	51	39	24	42	125	11	8	35	13	114	
43	35	8	55	32	27	15	31	30	55	30	8	8	9	1	2	43	49	18	3	3	30	3	5	11	9	2	11	20	74	9	25	5	1	2	33	7	27	26	8	12	20	16	1	5	9	2	28	
342	409	385	823	340	276	212	539	872	528	364	132	330	335	57	87	866	537	476	89	181	532	274	119	83	677	220	148	534	977	351	401	165	330	70	498	161	481	408	162	119	300	356	57	54	481	101	581	
5	1	1	16	10	6	3	10	16	8	1	2	7	5	0	0	7	2	2	1	2	6	4	2	0	17	5	2	4	5	4	6	2	2	0	7	0	14	4	4	1	2	0	0	0	1	3	7	
3	4	4	7	3	5	0	16	9	8	6	4	6	3	1	0	4	1	5	0	2	1	1	0	0	10	3	1	7	17	9	2	0	2	0	3	1	1	7	1	0	0	3	0	0	2	2	6	
3	2	3	3	3	3	1	4	7	4	2	0	1	0	0	0	6	0	1	1	0	3	1	1	0	2	0	2	5	1	0	2	1	0	1	1	0	3	0	1	0	0	0	0	0	2	0	0	
4	6	1	6	3	4	1	7	8	7	1	0	2	1	0	0	8	1	1	0	0	3	1	1	0	3	2	1	0	5	2	1	0	0	0	2	0	2	1	1	0	0	1	0	0	1	1	1	
