"УИК №748"	"УИК №749"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	
1709	1341	581	405	255	866	337	818	1105	506	796	853	690	1571	1336	1472	2582	2351	1159	1322	642	1297	990	1988	2104	1129	951	676	215	1779	930	2070	1892	1247	1951	365	1642	991	736	318	147	2832	2380	728	2136	2263	866	439	854	335	362	125	775	1117	918	170	299	369	2702	554	1815	1624	
1520	1220	600	400	270	860	350	840	1142	500	800	900	600	1611	1226	1516	2397	2377	1179	1308	650	1324	1092	2000	2000	1200	950	640	230	1700	900	1910	1850	1230	2000	380	1695	1000	770	340	150	2800	2200	690	2100	2300	949	459	870	343	377	138	830	1100	1000	200	300	380	2550	506	2020	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1087	965	450	229	187	522	181	540	688	260	503	516	534	964	1011	946	1612	1705	759	850	365	890	560	1094	1117	574	553	427	143	1137	404	1306	1290	985	1209	206	1088	683	424	189	71	2199	1780	471	1300	1406	587	285	610	229	215	79	390	623	488	94	163	228	1788	301	1207	871	
14	8	51	37	17	34	51	34	44	25	33	77	24	41	5	15	51	34	45	32	30	38	53	59	66	35	36	21	3	27	303	27	0	56	77	34	51	34	18	13	5	29	33	6	31	41	46	12	51	9	12	7	36	50	46	13	19	19	37	31	60	15	
419	247	99	134	66	304	118	266	410	215	264	307	42	606	210	555	734	638	375	426	255	396	479	847	817	591	361	192	84	536	193	577	560	189	714	140	556	283	328	138	74	572	387	213	769	853	316	162	209	105	150	52	404	427	466	93	118	133	725	174	753	614	
14	8	51	37	17	34	51	34	44	25	33	77	24	41	5	15	51	34	45	32	30	38	53	59	66	35	36	21	3	27	303	27	0	56	77	34	51	34	18	13	5	29	33	6	31	41	46	12	51	9	12	7	36	50	46	13	19	19	37	31	60	15	
1085	965	450	229	187	522	181	540	688	260	503	516	534	964	1009	946	1612	1705	759	850	365	890	560	1094	1117	574	553	427	143	1137	404	1306	1290	985	1209	206	1088	683	424	189	71	2199	1780	471	1300	1406	587	285	610	229	215	79	390	623	488	94	163	228	1788	301	1207	871	
17	5	3	1	2	9	3	4	6	7	6	7	11	13	4	9	22	18	9	5	12	8	6	12	10	9	3	4	2	9	21	9	7	13	11	2	14	7	2	1	0	0	17	3	14	12	12	0	6	0	1	0	5	4	7	2	2	3	16	4	10	10	
1082	968	498	265	202	547	229	570	726	278	530	586	547	992	1010	952	1641	1721	795	877	383	920	607	1141	1173	600	586	444	144	1155	686	1324	1283	1028	1275	238	1125	710	440	201	76	2228	1796	474	1317	1435	621	297	655	238	226	86	421	669	527	105	180	244	1809	328	1257	876	
