"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	
1355	2381	863	658	510	681	516	362	245	271	265	213	480	159	675	284	1028	620	658	265	284	625	
1300	2100	860	650	500	675	510	360	230	265	260	210	480	155	670	280	1000	620	650	260	280	620	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
870	1627	518	271	305	442	220	189	143	171	111	146	266	94	351	106	470	329	402	116	168	239	
65	204	191	320	112	161	182	126	63	35	107	25	141	50	166	125	240	190	96	87	62	85	
365	269	151	59	83	72	108	45	24	59	42	39	73	11	153	49	290	101	152	57	50	296	
65	204	191	320	112	161	182	126	63	35	107	25	141	50	166	125	240	190	96	87	62	85	
870	1626	518	271	305	442	220	189	143	171	111	146	266	94	351	106	470	329	402	116	168	239	
9	19	6	0	2	5	3	0	0	0	11	1	2	0	1	2	4	0	2	0	1	4	
926	1811	703	591	415	598	399	315	206	206	207	170	405	144	516	229	706	519	496	203	229	320	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	9	3	1	1	2	1	6	1	0	2	1	0	1	2	2	2	0	5	0	2	0	
109	242	29	36	22	36	41	3	4	6	7	15	36	2	42	19	39	38	64	16	19	26	
53	95	32	21	31	18	19	1	9	11	4	4	18	4	18	12	57	32	37	11	8	21	
756	1444	630	527	357	539	334	304	190	188	190	150	346	137	450	188	592	440	379	172	199	271	
1	10	3	3	2	1	1	0	1	0	0	0	2	0	2	1	6	4	3	2	1	2	
3	5	4	2	1	1	1	0	0	1	3	0	2	0	2	2	6	2	2	1	0	0	
1	4	1	0	1	1	1	0	1	0	0	0	1	0	0	5	3	0	6	1	0	0	
2	2	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	3	0	0	0	0	
