"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	
194	92	165	312	178	178	1389	315	214	299	269	510	169	
170	90	170	300	180	160	1300	300	180	280	280	460	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	
105	51	79	145	87	95	720	134	123	147	140	138	70	
22	8	24	52	43	46	114	29	32	37	48	134	26	
43	31	67	103	50	19	466	137	25	96	92	188	74	
22	8	24	52	43	46	114	29	32	37	48	134	26	
105	51	79	145	87	95	720	134	123	147	140	138	70	
0	1	1	1	2	0	7	2	1	1	0	0	0	
127	58	102	196	128	141	827	161	154	183	188	272	96	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	3	1	3	0	2	3	1	1	2	0	0	
6	5	2	26	14	12	137	22	18	22	22	53	6	
19	5	18	21	11	24	58	10	5	16	20	19	10	
97	47	73	141	92	100	603	126	124	141	138	191	80	
2	0	2	4	4	1	12	0	1	0	0	6	0	
2	0	2	3	2	4	5	0	5	2	1	2	0	
0	0	2	0	2	0	4	0	0	1	4	0	0	
0	0	0	0	0	0	6	0	0	0	1	1	0	
