"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	
1749	1985	2323	1862	2006	1317	2025	453	2103	1992	2050	2848	1998	2531	805	697	
1840	1970	2430	2260	2085	1255	1965	535	2125	2020	2165	2855	1910	2610	894	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1103	1138	1433	1191	1285	730	1239	319	1253	1201	1315	1704	1156	1400	444	557	
16	11	8	0	45	85	12	4	3	8	10	6	8	22	8	3	
721	821	989	1069	755	440	714	212	869	811	840	1145	746	1188	442	440	
16	11	8	0	45	85	12	4	3	8	10	6	8	22	8	3	
1103	1138	1433	1191	1285	730	1239	319	1253	1201	1315	1704	1156	1400	444	557	
15	29	26	16	31	16	25	4	20	19	22	29	21	51	17	11	
1104	1120	1415	1175	1299	799	1226	319	1236	1190	1303	1681	1143	1371	435	549	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	11	9	5	4	3	6	0	4	6	1	7	7	10	3	5	
151	155	192	160	171	96	174	41	174	188	189	241	179	206	91	86	
66	69	93	58	85	59	100	40	90	70	83	126	60	105	34	42	
846	854	1081	921	996	624	919	231	939	897	996	1269	864	1026	294	403	
15	12	17	19	15	5	5	0	9	11	12	17	16	13	4	3	
7	3	7	5	8	6	6	2	5	3	11	5	7	4	3	3	
7	5	6	5	7	1	7	1	5	8	2	7	4	4	4	4	
8	11	10	2	13	5	9	4	10	7	9	9	6	3	2	3	
