"УИК №3401"	"УИК №3402"	"УИК №3403"	"УИК №3404"	"УИК №3405"	"УИК №3406"	"УИК №3407"	"УИК №3408"	"УИК №3409"	"УИК №3410"	"УИК №3411"	"УИК №3412"	"УИК №3413"	"УИК №3414"	"УИК №3415"	"УИК №3416"	"УИК №3417"	"УИК №3418"	"УИК №3419"	"УИК №3420"	"УИК №3421"	"УИК №3422"	"УИК №3423"	"УИК №3424"	"УИК №3425"	"УИК №3426"	"УИК №3427"	"УИК №3428"	"УИК №3429"	"УИК №3430"	"УИК №3431"	"УИК №3432"	"УИК №3433"	"УИК №3434"	"УИК №3435"	"УИК №3436"	"УИК №3437"	"УИК №3438"	"УИК №3439"	"УИК №3440"	
1281	1399	2909	2024	1998	3206	1074	1750	1830	1526	2201	1130	2351	2180	1149	2844	2256	2010	1608	1778	1789	1992	2481	2683	2453	2727	1584	1787	847	1386	832	2269	834	1356	369	213	2050	2386	1565	877	
1000	1200	2700	1800	2000	2700	1000	1500	1500	1400	2000	1000	2000	2000	1000	2500	2000	2000	1500	1600	1700	2000	2200	2400	2200	2400	1400	1600	800	1200	823	2000	800	1200	350	200	2000	2100	1500	877	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
570	857	1667	1299	1239	1944	518	994	831	798	1203	649	1197	1076	535	1598	1221	1024	870	991	847	991	1417	1617	1480	1563	872	1115	466	692	400	1164	454	739	180	105	1042	1153	883	304	
236	32	39	55	64	29	21	63	41	21	57	37	85	49	34	193	64	56	30	57	46	41	62	38	48	30	36	40	37	48	164	53	12	19	12	21	32	46	28	541	
194	311	994	446	697	727	461	443	628	581	740	314	718	875	431	709	715	920	600	552	807	968	721	745	672	807	492	445	297	460	259	783	334	442	158	74	926	901	589	32	
236	32	39	55	64	29	21	63	41	21	57	37	85	49	34	193	64	56	30	57	46	41	62	38	48	30	36	40	37	48	164	53	12	19	12	21	32	46	28	541	
570	857	1667	1298	1238	1940	518	994	831	797	1203	649	1197	1076	535	1598	1221	1024	870	991	847	991	1417	1617	1479	1563	872	1115	465	692	400	1163	454	739	180	105	1042	1149	883	304	
12	6	17	10	14	31	3	15	14	10	17	10	14	6	4	14	14	14	11	8	6	15	21	19	22	19	8	13	8	3	6	17	5	3	0	3	13	20	7	9	
794	883	1689	1343	1288	1938	536	1042	858	808	1243	676	1268	1119	565	1777	1271	1066	889	1040	887	1017	1458	1636	1505	1574	900	1142	494	737	558	1199	461	755	192	123	1061	1175	904	836	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	6	21	12	12	18	5	8	2	8	8	8	7	7	6	12	5	9	12	12	9	7	13	22	11	15	6	6	2	4	5	10	0	3	2	2	3	5	8	8	
117	155	329	232	208	398	60	161	118	119	185	100	168	149	90	334	172	144	105	142	138	160	212	270	254	276	132	188	76	129	44	159	56	120	24	14	143	181	139	117	
100	47	82	58	68	81	41	67	76	54	92	47	102	72	27	113	82	102	53	93	61	99	126	99	92	113	65	69	45	71	47	92	16	50	8	7	67	90	62	46	
532	633	1173	962	929	1286	406	751	626	594	918	492	947	866	419	1224	957	770	689	760	648	705	1066	1174	1078	1108	662	829	350	508	430	903	370	562	153	96	822	857	664	635	
24	16	46	31	28	68	11	29	20	12	15	14	11	12	9	38	25	14	12	13	12	16	19	29	31	22	13	21	7	10	16	8	6	4	1	1	9	17	14	10	
4	8	10	14	7	21	4	15	5	10	9	7	16	5	3	16	12	11	6	8	10	12	10	17	6	6	6	5	4	8	5	14	3	6	2	2	7	5	3	7	
5	5	17	12	14	36	5	8	3	10	11	5	13	5	4	31	11	8	8	5	5	13	9	12	19	16	6	5	6	3	2	10	3	8	2	0	6	9	10	6	
5	13	11	22	22	30	4	3	8	1	5	3	4	3	7	9	7	8	4	7	4	5	3	13	14	18	10	19	4	4	9	3	7	2	0	1	4	11	4	7	
