"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	
944	2091	2497	2530	1961	2231	2254	2292	2139	1359	2020	2107	2156	2326	2514	2263	1456	2053	1793	2723	2424	1041	2116	2422	2423	1385	1881	1327	1415	1873	1956	1946	1828	2329	1327	2262	2206	2263	1977	2304	2271	1629	2375	1486	547	637	
800	2000	2300	2400	2000	2000	2200	2100	2000	1200	2000	2300	2000	2300	2300	2000	1300	2100	1700	2500	2100	1000	2000	2200	2300	1300	1700	1300	1300	1700	1700	2000	1800	2200	1200	2100	2000	2200	1900	2200	2300	1500	2200	1300	500	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
588	1383	1607	1615	1262	1526	1407	1467	1389	917	1208	1325	1339	1380	1586	1285	900	1248	1018	1740	1573	754	1318	1343	1474	822	1196	848	907	1129	1116	1189	1019	1348	792	1435	1464	1468	1222	1493	1602	987	1417	651	319	317	
18	16	34	31	34	17	39	18	18	20	24	26	40	39	23	42	18	34	29	27	40	9	30	208	38	39	20	39	18	54	43	30	33	53	27	20	61	40	38	43	51	36	46	58	16	34	
194	601	659	754	704	457	754	615	593	263	768	949	621	881	691	673	382	818	653	733	487	237	652	649	788	439	484	413	375	517	541	781	748	799	381	645	475	692	640	664	647	477	737	591	165	149	
18	16	34	31	34	17	39	18	18	20	24	26	40	39	23	42	18	34	29	27	40	9	30	208	38	39	20	39	18	54	43	30	33	53	27	20	61	40	38	43	51	36	46	58	16	34	
588	1383	1607	1611	1262	1526	1407	1466	1388	917	1206	1325	1339	1380	1586	1284	899	1248	1016	1740	1568	754	1317	1343	1474	821	1186	848	906	1129	1116	1189	1018	1348	792	1435	1464	1465	1221	1493	1602	987	1417	651	319	317	
7	13	21	21	11	14	3	15	14	7	16	17	21	20	11	11	11	14	16	20	18	8	21	17	10	8	10	16	15	24	8	9	15	14	10	8	8	17	15	18	19	13	13	10	2	2	
599	1386	1620	1621	1285	1529	1443	1469	1392	930	1214	1334	1358	1399	1598	1315	906	1268	1029	1747	1590	755	1326	1534	1502	852	1196	871	909	1159	1151	1210	1036	1387	809	1447	1517	1488	1244	1518	1634	1010	1450	699	333	349	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	7	17	8	8	11	10	8	10	9	9	7	8	10	15	5	6	8	9	13	17	8	12	15	14	7	9	9	6	13	12	8	10	13	3	12	12	19	24	11	19	7	9	3	2	3	
61	147	203	193	152	132	167	176	181	100	142	102	150	139	186	155	98	155	121	197	209	104	132	156	161	77	137	101	99	135	108	131	102	143	107	168	203	172	139	177	201	119	139	71	44	65	
44	62	116	111	80	103	102	81	90	80	113	123	106	124	90	93	81	109	108	134	104	58	93	138	115	56	81	77	69	83	70	101	89	95	52	100	92	74	76	101	109	54	123	53	26	18	
464	1099	1217	1222	997	1230	1105	1135	1058	690	914	1052	1034	1066	1237	1016	677	934	737	1295	1169	544	1009	1145	1141	674	895	641	673	867	896	907	773	1058	608	1082	1127	1148	935	1126	1216	790	1132	551	256	253	
8	20	26	40	20	21	22	30	24	25	13	20	28	14	30	15	17	24	27	38	32	11	27	33	23	15	23	13	24	18	18	25	23	27	12	29	25	21	23	32	36	18	19	6	0	5	
3	11	13	11	11	4	13	13	4	4	11	12	15	24	8	7	7	5	10	17	16	9	20	12	10	3	14	5	11	10	7	11	7	15	5	14	16	13	10	20	16	10	15	5	2	2	
9	16	12	17	11	16	15	13	10	9	6	8	9	12	12	11	10	10	9	24	12	8	15	17	25	12	19	11	11	12	20	15	15	17	8	24	18	20	12	18	12	6	7	4	1	2	
5	24	16	19	6	12	9	13	15	13	6	10	8	10	20	13	10	23	8	29	31	13	18	18	13	8	18	14	16	21	20	12	17	19	14	18	24	21	25	33	25	6	6	6	2	1	
