"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	
1981	568	532	371	192	466	500	
2354	572	534	372	202	469	516	
0	161	203	0	45	105	110	
1692	397	317	318	140	341	378	
284	9	8	53	5	19	10	
378	5	6	1	12	4	18	
284	170	211	53	50	124	120	
1692	397	317	318	140	341	378	
26	0	0	0	0	0	0	
1950	567	528	371	190	465	498	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

3	0	0	0	1	1	0	
71	2	1	1	2	12	3	
17	0	0	0	2	3	1	
1823	565	527	370	184	448	494	
26	0	0	0	1	1	0	
2	0	0	0	0	0	0	
5	0	0	0	0	0	0	
3	0	0	0	0	0	0	
