"УИК №116"	"УИК №231"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №366"	"УИК №367"	"УИК №1743"	
2654	1862	1914	2110	1289	2267	1936	2389	2210	1988	2131	2020	1875	2101	2388	1905	2471	1812	1973	1887	2603	2244	2430	3445	2506	2384	3032	
2400	1800	1800	2000	1200	2200	1900	2300	2000	1900	2000	2000	1800	2000	2300	1900	2100	1800	1900	1800	2300	2100	2300	3000	2500	2300	3000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2194	1585	1492	1583	1064	1985	1314	1880	1349	1596	1486	1800	1277	1325	1688	1452	1628	1357	1557	1339	1949	1615	1830	2277	2075	1981	2545	
42	25	210	189	86	65	193	162	146	138	149	26	156	68	125	72	351	59	180	136	258	206	40	93	110	18	115	
164	190	98	228	50	150	393	258	505	166	365	174	367	607	487	376	121	384	163	325	93	279	430	630	315	301	340	
42	25	210	189	86	65	193	162	146	138	149	26	156	68	125	72	351	59	180	136	258	206	40	93	110	18	115	
2194	1570	1488	1580	1059	1980	1307	1880	1337	1591	1478	1786	1268	1320	1684	1443	1624	1357	1547	1334	1939	1604	1816	2277	2071	1951	2533	
16	23	10	18	12	5	12	17	15	7	18	21	16	15	5	14	16	13	10	13	15	14	14	24	17	26	17	
2220	1572	1688	1751	1133	2040	1488	2025	1468	1722	1609	1791	1408	1373	1804	1501	1959	1403	1717	1457	2182	1796	1842	2346	2164	1943	2631	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

22	27	8	9	9	26	16	28	22	23	27	5	22	14	32	21	24	10	26	19	28	29	14	15	31	9	41	
86	62	91	71	36	46	62	54	54	72	79	44	62	110	121	62	90	154	75	69	76	88	110	444	52	89	81	
144	99	112	107	80	169	97	89	108	114	110	139	111	129	125	129	168	126	131	104	136	158	105	111	145	106	158	
1880	1356	1460	1518	986	1773	1274	1797	1221	1467	1342	1571	1145	1045	1479	1211	1616	1063	1404	1208	1865	1489	1574	1603	1897	1694	2233	
47	12	8	13	10	22	18	36	31	20	26	10	23	24	7	32	33	28	38	25	29	16	22	94	19	21	43	
16	7	3	11	2	1	4	5	13	8	8	7	15	19	16	11	11	4	17	10	18	5	5	15	7	6	17	
9	5	1	13	3	1	6	2	6	5	3	5	13	11	6	11	9	7	16	13	16	2	5	28	2	10	11	
16	4	5	9	7	2	11	14	13	13	14	10	17	21	18	24	8	11	10	9	14	9	7	36	11	8	47	
