"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1181"	"УИК №1182"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №3798"	"УИК №3799"	"УИК №3800"	"УИК №3801"	"УИК №3802"	"УИК №3815"	"УИК №4241"	
686	1350	1340	1482	1330	1286	1354	1562	1560	1703	1575	1025	1281	1528	1567	1837	1812	2027	930	1319	1276	1127	1032	1242	2213	1227	1778	1859	1387	1577	2113	803	1305	815	1117	2144	1423	1237	1245	1640	
780	1000	1400	1450	1450	1250	1350	1450	1400	1450	1450	1350	1210	1550	1450	1500	1550	1550	1050	1150	1100	1250	1100	1100	1750	1050	1650	1800	1150	1300	1700	710	1000	1100	1100	1700	1400	1100	1100	1700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
599	736	978	969	951	1104	894	960	1020	1092	1009	1000	712	1252	1003	1293	1099	1254	830	944	921	847	810	778	1467	855	1256	1336	972	1024	1199	529	714	804	738	1448	992	696	865	1160	
47	27	98	121	92	20	26	18	6	67	16	25	43	7	11	4	28	22	100	59	77	39	10	11	21	18	57	32	43	36	51	13	191	11	9	26	11	29	50	127	
134	237	324	360	407	126	430	472	374	291	425	325	455	291	436	203	423	274	120	147	102	364	280	311	262	177	337	432	135	240	450	168	95	285	353	226	397	375	185	413	
47	27	98	121	92	20	26	18	6	67	16	25	43	7	11	4	28	22	100	59	77	39	10	11	21	18	57	32	43	36	51	13	191	11	9	26	11	29	50	127	
599	736	978	969	951	1104	893	960	1020	1090	1009	998	712	1245	1003	1292	1099	1254	830	944	921	847	810	778	1467	855	1256	1336	969	1024	1198	529	714	804	738	1447	992	696	865	1160	
5	4	17	25	16	7	8	15	7	17	5	12	9	12	11	17	21	21	11	19	18	13	13	11	17	6	11	12	7	17	19	6	18	9	5	14	9	11	10	8	
641	759	1059	1065	1027	1117	911	963	1019	1140	1020	1011	746	1240	1003	1279	1106	1255	919	984	980	873	807	778	1471	867	1302	1356	1005	1043	1230	536	887	806	742	1459	994	714	905	1279	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	6	11	10	7	5	11	10	15	7	14	8	11	9	6	11	13	11	10	6	0	9	5	8	8	22	7	7	11	7	5	20	16	6	14	6	1	6	9	
66	101	131	117	111	145	128	118	149	123	117	126	108	152	167	196	123	164	102	143	119	106	107	109	227	126	193	126	115	125	161	80	96	112	107	160	129	105	96	124	
26	51	42	62	56	65	43	41	42	46	57	53	44	62	35	56	61	55	61	66	44	35	34	56	86	35	64	93	44	61	76	25	46	34	21	101	48	25	55	45	
498	558	813	802	796	791	670	744	724	850	781	748	543	948	719	947	837	902	672	710	727	662	594	575	1075	644	942	1009	740	805	905	391	663	594	559	1081	742	505	709	1064	
22	21	24	30	24	51	22	23	37	41	23	23	17	34	25	29	36	54	30	25	27	27	33	16	32	30	39	71	62	19	28	14	28	23	27	61	34	34	23	13	
3	11	8	13	16	8	7	9	11	11	6	7	5	6	6	6	8	9	4	10	9	5	2	0	5	2	15	11	4	4	13	3	4	2	4	9	7	5	1	6	
8	10	12	14	8	22	15	6	25	28	18	14	8	9	17	20	10	24	15	10	14	14	10	6	11	14	14	20	16	8	24	13	11	15	12	16	11	13	5	9	
15	5	23	16	6	28	21	11	21	26	11	26	13	18	25	19	20	34	24	10	34	24	18	11	27	8	13	19	17	10	16	5	19	10	6	17	17	26	10	9	
