"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №2281"	
2044	2201	1415	1772	1538	1314	1753	1899	1842	1775	1872	2626	1953	2357	2612	2596	1975	1774	2150	2404	2348	2284	2597	2667	2263	2029	2195	2190	903	2091	1285	2242	188	
2000	2200	1200	1800	1500	1200	1700	1800	1900	1900	1900	2600	1900	2400	2700	2500	2000	1800	2000	2200	2400	2100	2600	2700	2200	2000	2200	2200	900	2100	1800	2200	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1004	1232	782	1074	992	744	1096	1205	1102	1038	1149	1654	1034	1276	1353	1312	1150	1053	1296	1418	1371	1281	1514	1579	1314	1306	1339	1227	443	1190	1090	1487	164	
27	194	15	39	33	23	25	31	43	37	21	29	33	26	41	24	42	37	29	25	51	30	40	22	22	30	37	30	23	20	195	28	0	
969	774	403	687	475	433	579	564	755	825	730	917	833	1098	1306	1164	808	710	675	757	978	789	1046	1099	864	664	824	943	434	890	515	685	336	
27	194	15	39	33	23	25	31	43	37	21	29	33	26	41	24	42	37	29	25	51	30	40	22	22	30	37	30	23	20	195	28	0	
1002	1232	782	1074	990	744	1094	1205	1101	1038	1149	1654	1034	1276	1353	1312	1150	1053	1296	1327	1371	1281	1514	1578	1314	1306	1338	1227	443	1190	1090	1487	164	
7	15	5	14	6	10	7	11	12	9	14	16	11	12	15	8	10	16	11	8	16	11	24	14	47	16	13	12	7	6	16	16	1	
1022	1411	792	1099	1017	757	1112	1225	1132	1066	1156	1667	1056	1290	1379	1328	1182	1074	1314	1344	1406	1300	1530	1586	1289	1320	1362	1245	459	1204	1269	1499	163	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	10	3	8	7	2	10	10	8	15	9	15	10	9	10	11	8	13	12	13	6	14	12	8	13	8	11	12	4	4	6	11	0	
127	205	113	144	136	89	150	156	148	138	164	187	122	143	171	185	141	126	176	180	167	145	175	196	196	172	171	181	55	124	44	170	29	
56	97	36	39	53	26	49	45	53	52	54	90	65	93	84	76	69	51	80	58	82	73	86	82	57	57	57	55	29	67	162	64	18	
773	1033	562	836	743	575	804	913	854	793	850	1260	807	988	1043	979	880	834	969	1004	1073	974	1175	1189	954	1003	1026	914	341	945	912	1143	111	
42	28	32	32	32	29	33	51	25	24	36	54	19	24	31	27	36	20	26	30	27	42	38	54	35	33	48	40	20	25	116	56	4	
6	13	7	5	10	6	14	3	8	6	4	15	13	12	9	13	9	10	12	8	12	9	11	10	8	7	7	10	0	6	10	9	0	
12	11	13	10	7	6	10	14	11	13	16	16	8	7	15	12	13	7	13	12	12	14	9	9	3	14	19	14	2	8	15	14	0	
3	14	26	25	29	24	42	33	25	25	23	30	12	14	16	25	26	13	26	39	27	29	24	38	23	26	23	19	8	25	4	32	1	
