"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	"УИК №1742"	"УИК №1743"	"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	"УИК №1749"	"УИК №1750"	"УИК №1751"	"УИК №1752"	"УИК №1753"	"УИК №1754"	"УИК №1755"	"УИК №1756"	"УИК №1757"	"УИК №1758"	"УИК №1759"	"УИК №1760"	"УИК №1761"	
1479	387	245	74	266	2200	1006	418	177	161	2064	2235	1056	2021	779	1246	1464	655	364	1346	1869	442	204	314	304	606	535	246	957	254	1364	1281	1481	1623	540	2540	1069	596	1264	317	217	428	1085	841	878	341	983	291	1034	1719	810	865	182	2516	842	863	369	1699	926	2258	1995	
1500	380	240	70	250	2100	950	350	150	130	2000	2200	1000	1900	750	1200	1300	600	350	1300	1700	400	200	300	270	600	500	220	900	230	1300	1200	1500	1500	500	2500	1000	550	1250	260	200	400	1000	800	800	300	1000	280	900	1600	800	850	170	2300	750	800	350	1650	850	2200	1900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
835	188	143	39	158	1469	523	263	50	75	1250	1334	614	1125	442	775	999	412	205	802	1151	264	120	178	176	340	301	133	608	171	805	766	752	1065	319	1386	702	349	815	134	118	275	677	547	546	231	567	141	532	888	485	448	115	1447	490	423	207	1122	615	1387	1189	
33	18	13	4	16	35	55	18	48	20	27	23	6	46	13	4	14	7	14	47	8	7	9	3	5	23	29	12	39	9	10	11	21	6	18	70	27	15	38	47	15	29	26	38	28	15	10	22	143	16	13	32	5	24	16	10	8	13	9	5	15	
632	174	84	27	76	596	372	69	52	35	723	843	380	729	295	420	287	181	131	451	541	129	71	119	89	237	170	75	253	50	485	423	727	429	163	1044	271	186	397	79	67	96	297	215	226	54	423	117	225	696	302	370	50	829	244	367	135	514	225	808	696	
33	18	13	4	16	35	55	18	48	20	27	23	6	47	13	4	14	7	14	47	8	7	9	3	5	23	29	12	39	9	10	11	21	6	18	70	27	15	38	47	15	29	26	38	28	15	10	22	143	16	13	32	5	24	16	10	8	13	9	5	15	
835	188	143	39	158	1469	523	263	50	75	1250	1334	614	1124	442	776	999	412	205	802	1151	264	120	178	176	340	301	133	608	171	805	766	752	1065	319	1386	702	349	815	134	118	275	677	547	546	231	567	141	532	888	485	448	115	1447	490	423	207	1123	615	1387	1189	
11	3	1	1	2	19	3	2	0	0	14	23	14	30	4	19	11	1	1	11	8	2	1	0	2	8	5	0	10	2	14	5	8	12	2	29	7	1	14	2	1	3	15	9	5	4	4	1	12	7	1	6	0	14	4	2	2	21	8	15	11	
857	203	155	42	172	1485	575	279	98	95	1263	1334	606	1141	451	761	1002	418	218	838	1151	269	128	181	179	355	325	145	637	178	801	772	765	1059	335	1427	722	363	839	179	132	301	688	576	569	242	573	162	663	897	497	474	120	1457	502	431	213	1115	616	1377	1193	
