"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	
859	973	1062	895	1091	964	1154	1140	1120	1059	1089	940	973	1263	1127	
800	800	900	800	900	800	950	1000	900	900	900	800	800	1000	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
566	551	632	564	647	571	671	654	518	581	526	479	487	595	610	
45	36	29	28	43	50	71	84	75	46	59	46	52	97	74	
189	213	239	208	210	179	208	262	307	273	315	275	261	308	316	
45	36	29	28	43	50	71	84	75	46	59	46	52	97	74	
566	551	632	564	647	571	671	654	518	581	526	479	487	595	610	
9	6	9	6	5	8	7	5	7	4	6	7	7	6	5	
602	581	652	586	685	613	735	733	586	623	579	518	532	686	679	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	8	5	5	3	5	8	2	1	3	1	3	3	2	4	
81	70	66	74	82	63	92	82	70	63	73	60	51	78	78	
49	32	35	33	48	42	45	53	45	53	31	37	44	46	46	
446	447	537	463	543	496	580	581	454	496	469	406	423	550	528	
8	5	4	6	2	5	3	3	5	3	2	4	2	5	6	
6	9	3	3	4	2	4	6	6	4	2	7	3	2	4	
5	3	2	1	2	0	2	2	4	1	1	1	5	2	9	
2	7	0	1	1	0	1	4	1	0	0	0	1	1	4	
