"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	
1497	1361	440	322	798	333	484	682	429	865	
1525	1530	440	315	800	327	472	660	434	924	
0	0	74	96	134	43	128	145	191	90	
1425	1203	348	212	626	263	319	472	238	729	
27	50	12	7	29	19	25	42	0	20	
73	277	6	0	11	2	0	1	3	85	
27	50	86	103	163	62	153	187	191	110	
1425	1203	348	212	626	263	319	472	238	729	
13	12	4	0	3	0	6	23	5	6	
1439	1241	430	315	786	325	466	636	424	833	
0	0	0	0	0	0	0	0	2	0	
0	0	0	0	0	0	0	0	0	0	

2	3	3	0	3	0	4	0	0	0	
52	49	11	0	18	0	5	5	0	13	
9	8	3	2	5	0	2	4	0	3	
1357	1161	411	310	751	325	447	621	424	804	
10	16	1	1	8	0	7	2	0	5	
4	3	1	2	0	0	1	2	0	6	
3	0	0	0	0	0	0	1	0	2	
2	1	0	0	1	0	0	1	0	0	
