"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	
956	1078	1520	2559	1192	2170	1512	1666	1502	1426	1119	1246	259	2082	2380	941	1307	1013	1078	659	
930	1060	1460	2470	1200	2000	1478	1720	1410	1420	1070	1280	270	1960	2270	930	1300	970	1050	630	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
423	603	914	1427	766	1328	918	741	685	868	716	836	176	1346	1349	680	808	646	753	520	
285	272	156	336	119	357	252	509	455	305	293	250	49	418	324	151	254	125	232	73	
222	185	390	707	315	315	308	470	270	247	61	194	45	196	597	99	238	199	65	37	
285	272	156	336	119	357	252	509	455	305	293	250	49	418	324	151	254	125	232	73	
423	603	914	1427	766	1328	918	741	685	868	716	836	176	1346	1349	680	808	646	753	520	
4	9	16	17	9	21	18	6	12	11	15	5	1	25	28	8	12	12	5	3	
704	866	1054	1746	876	1664	1152	1244	1128	1162	994	1081	224	1739	1645	823	1050	759	980	590	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	9	8	10	7	9	2	3	6	8	7	11	0	11	16	9	4	5	9	2	
101	143	156	297	162	267	209	178	149	163	120	168	25	148	232	67	109	118	116	80	
47	41	77	81	46	93	44	68	71	85	46	83	17	148	84	53	84	49	60	52	
539	655	783	1333	636	1258	869	975	886	891	801	807	174	1405	1269	685	831	582	784	445	
7	4	7	8	12	19	11	4	6	3	6	6	1	5	11	3	12	0	3	4	
3	7	15	6	3	8	8	6	6	7	10	2	4	10	20	4	5	5	4	6	
2	5	4	6	5	6	6	7	1	2	1	2	0	3	10	1	3	0	4	1	
1	2	4	5	5	4	3	3	3	3	3	2	3	9	3	1	2	0	0	0	
