"УИК №1589"	"УИК №1590"	"УИК №1591"	"УИК №1592"	"УИК №1593"	"УИК №1594"	"УИК №1595"	"УИК №1596"	"УИК №1597"	"УИК №1598"	"УИК №1599"	"УИК №1600"	"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	
1676	1004	1423	1350	1211	1179	1001	1176	319	636	551	257	387	248	1004	121	999	147	1037	307	131	1131	251	298	164	209	238	187	153	1077	77	1236	156	112	115	1450	1123	112	65	218	1092	187	219	763	109	282	192	69	
1740	1000	1460	1350	1230	1210	1050	1180	310	530	540	250	370	250	1000	110	1010	150	1040	320	130	1140	240	290	150	220	240	200	150	1110	70	1290	150	120	120	1480	1140	100	70	220	1110	190	210	770	110	290	200	70	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1041	585	816	850	709	726	604	705	200	409	338	162	251	223	636	71	681	81	602	222	106	702	182	178	102	146	133	110	120	619	51	695	96	75	65	759	635	76	27	117	651	91	116	501	86	229	108	64	
64	55	61	31	36	41	33	46	105	31	51	30	28	0	75	9	41	4	69	11	3	46	10	17	13	9	9	7	5	52	8	65	7	5	5	128	53	5	0	7	64	26	19	51	8	0	4	0	
635	360	583	469	485	443	413	429	5	90	151	58	91	27	289	30	288	65	369	87	21	392	48	95	35	65	98	83	25	439	11	530	47	40	50	593	452	19	43	96	395	73	75	218	16	61	88	6	
64	55	61	31	36	41	33	46	105	31	51	30	28	0	75	9	41	4	69	11	3	46	10	17	13	9	9	7	5	52	8	65	7	5	5	128	53	5	0	7	64	26	19	51	8	0	4	0	
1041	585	816	850	709	726	604	705	200	409	338	162	251	223	636	71	681	81	602	222	106	702	182	178	102	146	133	110	120	619	51	695	96	75	65	759	635	76	27	117	650	91	116	501	86	229	108	64	
27	11	17	19	16	24	7	8	14	5	7	2	2	2	15	3	11	1	12	4	0	19	4	7	6	4	2	0	2	14	1	11	0	0	0	11	8	2	0	0	13	2	3	4	0	5	2	0	
1078	629	860	862	729	743	630	743	291	435	382	190	277	221	696	77	711	84	659	229	109	729	188	188	109	151	140	117	123	657	58	749	103	80	70	876	680	79	27	124	701	115	132	548	94	224	110	64	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	7	7	7	7	6	7	7	5	3	1	2	3	2	8	0	5	1	8	1	1	8	0	2	0	0	2	0	2	10	0	4	1	0	2	12	5	0	0	2	6	0	1	0	1	0	0	0	
214	117	168	197	160	173	140	182	32	88	35	27	49	32	121	2	90	12	131	35	12	111	33	47	29	12	17	23	27	122	4	143	13	8	7	203	171	10	3	19	102	25	16	67	18	22	3	2	
74	40	46	50	48	52	43	40	29	55	34	21	13	8	58	5	90	2	54	21	7	64	3	21	2	12	4	2	20	40	6	66	8	0	4	44	44	6	0	6	46	7	21	14	8	4	2	10	
752	447	615	587	487	494	424	499	211	273	304	138	205	179	493	69	516	67	450	170	86	532	145	116	77	127	113	89	72	470	47	514	80	72	56	602	446	61	24	96	536	80	92	451	65	195	101	52	
17	8	15	11	13	7	8	9	3	10	2	1	3	0	8	0	3	1	12	0	2	2	4	1	1	0	2	1	0	6	0	6	0	0	0	6	7	0	0	1	2	0	1	3	1	3	4	0	
5	4	3	1	5	3	3	3	1	1	3	1	1	0	3	1	5	1	4	1	0	7	2	1	0	0	0	2	1	2	1	13	0	0	1	8	1	1	0	0	2	0	1	11	0	0	0	0	
1	5	4	7	7	5	2	1	3	0	1	0	2	0	3	0	1	0	0	1	0	1	0	0	0	0	1	0	0	3	0	1	1	0	0	1	5	1	0	0	5	3	0	0	0	0	0	0	
2	1	2	2	2	3	3	2	7	5	2	0	1	0	2	0	1	0	0	0	1	4	1	0	0	0	1	0	1	4	0	2	0	0	0	0	1	0	0	0	2	0	0	2	1	0	0	0	
