"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	
52	333	1348	1437	1595	1170	146	52	415	195	
67	450	1300	1500	1600	1400	170	63	600	270	
0	0	0	0	0	0	0	0	0	0	
48	286	850	939	1049	743	127	49	309	165	
0	19	53	31	45	41	6	1	32	20	
19	145	397	530	506	616	37	13	259	85	
0	19	53	31	45	41	6	1	32	20	
48	286	850	939	1049	743	127	49	309	165	
1	4	10	15	12	12	1	0	3	1	
47	301	893	955	1082	772	132	50	338	184	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	1	8	6	9	3	1	0	2	0	
2	37	156	135	198	118	12	1	31	27	
8	40	78	88	89	86	12	2	40	31	
34	217	623	701	760	550	104	43	253	122	
0	2	12	6	8	3	2	0	6	1	
1	2	4	7	9	7	1	3	3	3	
2	2	5	4	9	2	0	1	2	0	
0	0	7	8	0	3	0	0	1	0	
