"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	
665	285	402	465	593	588	659	727	538	442	226	169	337	249	538	326	535	789	487	542	572	1104	970	220	
704	288	413	487	618	600	690	760	556	515	240	178	357	263	548	333	584	885	511	632	681	1125	1003	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
563	218	349	333	508	477	415	569	346	307	158	119	259	182	498	254	445	597	420	493	480	902	714	184	
78	55	41	117	53	90	212	98	98	118	51	43	52	37	25	40	65	115	47	35	78	140	104	28	
63	15	23	37	57	33	63	93	112	90	31	16	46	44	25	39	74	173	44	104	123	83	185	3	
78	55	41	117	53	90	212	98	98	118	51	43	52	37	25	40	65	115	47	35	78	140	104	28	
563	218	349	333	508	477	415	569	346	307	158	119	259	182	498	254	445	597	420	493	480	902	714	184	
2	0	3	1	0	1	2	3	3	1	1	1	2	4	3	3	2	4	3	4	0	15	10	4	
639	273	387	449	561	566	625	664	441	424	208	161	309	215	520	291	508	708	464	524	558	1027	808	208	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	0	2	4	4	0	2	3	2	0	0	1	0	2	3	2	7	0	3	0	1	2	0	
13	20	16	7	22	24	37	90	22	13	17	6	23	27	35	31	40	49	11	47	44	87	70	17	
8	12	15	12	11	18	15	26	24	8	5	8	11	12	21	14	29	52	6	16	8	49	62	10	
609	235	352	423	515	512	570	539	383	399	185	147	268	173	456	240	433	582	447	452	504	872	658	176	
3	3	3	1	1	2	1	1	7	0	0	0	0	0	2	2	1	4	0	2	2	7	4	2	
2	3	1	3	5	3	1	2	1	1	1	0	2	0	4	0	2	6	0	1	0	6	12	3	
1	0	0	1	3	3	0	3	0	0	0	0	3	3	0	1	0	3	0	2	0	3	0	0	
0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	5	0	1	0	2	0	0	
