"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №3649"	"УИК №3650"	
2539	2134	2100	2879	2252	2421	2462	2412	2124	3284	2500	3102	2424	2600	2961	128	418	
1900	1700	1700	2200	1800	1900	2000	1900	1700	2900	2100	2760	2100	2100	2200	150	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1399	1058	1067	1645	1214	1325	1337	1238	1180	1913	1588	1944	1379	1395	1690	83	252	
61	124	65	63	55	74	53	83	48	101	60	79	86	83	71	39	84	
440	518	567	492	531	501	610	579	472	886	452	737	635	622	439	28	164	
61	124	65	63	55	74	53	83	48	101	60	79	86	83	71	39	84	
1395	1058	1066	1644	1212	1324	1334	1238	1177	1913	1583	1943	1379	1394	1686	83	252	
39	15	14	31	17	18	12	20	27	38	19	25	26	26	33	0	6	
1417	1167	1117	1676	1250	1380	1375	1301	1198	1976	1624	1997	1439	1451	1724	122	330	
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	8	17	21	15	9	14	9	9	19	21	18	11	25	23	1	3	
201	151	139	240	147	164	146	163	132	312	208	278	160	186	227	15	36	
63	55	40	68	70	69	73	71	51	106	69	110	80	66	70	7	14	
927	792	791	1126	860	993	979	906	875	1316	1148	1356	998	978	1139	85	254	
87	59	60	92	69	67	71	74	67	103	88	90	70	82	117	9	8	
6	10	9	10	10	7	9	6	10	15	7	18	11	11	11	2	3	
31	23	23	26	31	20	33	16	16	20	31	31	29	29	47	0	1	
86	69	38	93	48	51	50	56	38	85	52	96	80	74	90	3	11	
