"УИК №1288"	"УИК №1289"	"УИК №1291"	"УИК №1292"	"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1326"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №2343"	
451	334	251	28	431	108	269	435	224	551	146	2673	1070	279	180	178	282	145	146	43	116	574	385	39	41	76	469	105	139	535	145	173	45	30	298	87	432	189	106	129	191	
447	317	241	32	423	98	275	440	194	548	132	2636	1039	261	171	173	281	151	140	44	110	576	374	40	40	73	474	100	138	528	141	179	48	29	294	77	426	190	102	126	192	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
202	132	85	10	206	57	142	185	104	310	79	1305	501	154	98	103	143	73	85	30	54	202	194	32	14	46	242	69	64	272	68	92	21	23	158	45	215	84	47	72	120	
14	8	9	2	11	3	3	13	9	5	3	51	30	3	4	5	15	0	8	2	4	52	20	1	7	3	12	8	5	13	9	2	2	2	3	2	7	2	0	2	3	
231	177	147	20	206	38	130	242	81	233	50	1280	508	104	69	65	123	78	47	12	52	322	160	7	19	24	220	23	69	243	64	85	25	4	133	30	204	104	55	52	69	
14	8	9	2	11	3	3	13	9	5	3	51	30	3	4	5	15	0	8	2	4	52	20	1	7	3	12	8	5	13	9	2	2	2	3	2	7	2	0	2	3	
202	132	85	10	206	57	142	185	104	310	79	1305	501	154	98	103	143	73	85	30	54	202	194	32	14	46	242	69	64	272	68	92	21	23	158	45	215	84	47	72	120	
4	0	2	0	1	0	1	3	0	4	0	18	3	1	2	0	2	0	1	0	1	2	0	0	0	1	2	1	0	2	0	1	0	0	2	0	1	1	0	4	0	
212	140	92	12	216	60	144	195	113	311	82	1338	528	156	100	108	156	73	92	32	57	252	214	33	21	48	252	76	69	283	77	93	23	25	159	47	221	85	47	70	123	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	0	1	0	2	0	0	1	0	16	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	0	4	
15	2	3	7	32	17	6	22	9	41	11	196	58	14	1	11	26	3	8	10	12	16	7	1	2	4	18	1	2	28	9	6	1	0	14	6	38	11	8	17	20	
18	20	8	0	22	6	22	17	6	33	22	95	45	26	6	8	12	4	3	8	0	37	19	3	0	5	30	3	6	31	5	15	4	1	21	6	22	12	1	8	14	
172	116	77	5	158	35	114	151	94	233	47	1004	415	112	91	84	114	66	80	14	45	189	183	29	19	39	203	71	59	219	61	70	17	24	121	33	159	56	33	45	82	
4	1	0	0	1	1	0	0	3	2	1	13	3	2	1	4	1	0	0	0	0	7	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	2	
1	1	1	0	1	1	0	5	0	0	0	7	4	2	1	0	2	0	1	0	0	2	1	0	0	0	0	0	1	2	0	0	0	0	2	0	0	2	2	0	1	
0	0	2	0	1	0	0	0	0	1	0	6	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2	0	0	0	0	2	0	0	0	0	
1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	
