"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	
1797	528	523	563	442	1485	1167	2193	434	1282	925	375	1667	1603	2713	1304	1434	2664	2084	648	372	2019	1607	271	377	788	945	897	1321	870	177	865	219	490	1875	1322	1544	1584	856	1554	1006	
1800	500	500	550	440	1500	1100	2200	400	1200	900	370	1600	1500	2500	1200	1400	2500	2000	600	350	2000	1500	260	350	750	950	900	1300	850	175	850	210	450	1800	1200	1500	1500	800	1500	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1255	243	375	448	340	729	997	1797	220	726	824	314	1417	1333	1682	894	1187	2335	1792	387	257	1816	1267	230	315	670	808	800	780	684	160	714	165	378	1642	1103	1320	1374	700	1344	833	
256	60	108	67	61	465	92	243	53	315	67	49	84	111	188	107	112	85	126	181	79	60	233	30	33	42	65	40	167	126	9	123	45	69	103	97	167	62	96	141	102	
289	197	17	35	39	306	11	160	127	159	9	7	99	56	630	199	101	80	82	32	14	124	0	0	2	38	77	60	353	40	6	13	0	3	55	0	13	64	4	15	65	
256	60	108	67	61	465	92	243	53	315	67	49	84	111	188	107	112	85	126	181	79	60	233	30	33	42	65	40	167	126	9	123	45	69	103	97	167	62	96	141	102	
1255	243	375	448	340	729	997	1797	220	726	822	314	1416	1333	1682	893	1187	2335	1792	387	257	1816	1267	230	315	670	808	800	780	684	160	714	165	378	1642	1102	1320	1374	700	1344	833	
12	4	0	0	0	12	3	7	0	11	1	7	2	13	23	12	14	26	20	12	0	0	9	4	0	7	2	0	11	6	0	0	0	4	25	2	8	5	15	7	10	
1499	299	483	515	401	1182	1086	2033	273	1030	888	356	1498	1431	1847	988	1285	2394	1898	556	336	1876	1491	256	348	705	871	840	936	804	169	837	210	443	1720	1197	1479	1431	781	1478	925	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	0	3	7	4	6	4	11	2	7	4	1	5	11	8	1	6	7	6	2	0	34	0	2	2	5	2	7	3	0	1	3	0	2	14	1	1	3	10	5	6	
137	42	61	36	40	114	54	245	15	104	60	27	219	173	253	136	132	242	191	26	26	126	73	11	26	62	100	70	86	42	8	5	4	15	140	140	191	143	52	113	59	
85	17	29	37	28	81	29	49	23	80	52	17	67	82	124	50	58	115	107	38	31	119	55	11	20	30	51	43	54	34	14	22	3	18	98	46	33	24	43	70	70	
1253	229	389	427	327	964	982	1705	226	825	767	300	1184	1149	1409	781	1068	1983	1561	482	276	1501	1358	229	291	595	697	705	770	717	143	801	202	404	1423	1003	1244	1239	667	1262	780	
8	7	1	1	1	5	5	7	1	3	1	2	7	2	19	9	8	13	9	3	1	37	5	0	6	4	3	4	9	7	1	2	1	1	21	2	3	7	2	10	5	
5	0	0	2	0	5	3	7	3	4	1	5	6	12	11	6	8	21	6	2	0	10	0	3	0	8	10	7	4	2	0	2	0	2	11	2	3	7	1	8	4	
4	3	0	5	0	6	7	7	2	2	1	1	5	2	13	2	1	10	12	2	2	24	0	0	1	1	7	4	9	2	2	1	0	0	10	1	2	8	5	5	0	
1	1	0	0	1	1	2	2	1	5	2	3	5	0	10	3	4	3	6	1	0	25	0	0	2	0	1	0	1	0	0	1	0	1	3	2	2	0	1	5	1	
