"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	
138	197	199	583	562	176	305	170	295	293	281	337	250	239	304	46	91	
209	215	230	550	550	191	250	194	240	260	270	280	230	210	270	51	100	
59	8	63	380	350	2	0	5	0	0	0	0	0	0	0	0	0	
66	88	91	101	86	109	184	91	138	152	144	176	129	116	134	25	44	
0	15	21	30	35	2	3	10	9	9	5	9	26	15	44	3	6	
84	104	55	39	79	78	63	88	93	99	121	95	75	79	92	23	50	
59	23	84	410	385	4	3	15	9	9	5	9	26	15	44	3	6	
66	88	91	101	86	109	184	91	138	152	144	176	129	116	134	25	44	
0	0	0	14	11	2	4	0	2	1	2	1	1	2	9	0	0	
125	111	175	497	460	111	183	106	145	160	147	184	154	129	169	28	50	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	2	6	0	1	1	3	2	0	0	4	0	1	0	0	
29	19	13	63	67	18	48	21	31	30	44	58	26	18	24	1	9	
18	14	33	91	79	17	21	25	21	22	16	20	27	31	30	1	9	
73	74	124	324	283	75	112	56	82	101	84	103	90	77	107	24	27	
1	1	1	10	12	0	0	2	3	2	1	0	2	1	3	1	2	
1	1	2	1	5	0	1	0	2	2	0	2	3	0	2	1	1	
1	1	2	3	3	1	0	1	2	0	1	0	2	2	1	0	2	
1	1	0	3	5	0	0	0	1	1	1	1	0	0	1	0	0	
