"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	"УИК №2121"	"УИК №2122"	
683	790	247	115	578	243	251	779	178	705	2013	1947	337	156	679	698	147	672	159	103	756	144	
700	850	260	130	630	300	280	850	220	750	2000	2000	330	150	750	800	200	700	180	120	900	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
421	448	135	58	378	170	139	365	102	373	1301	1063	157	95	383	335	72	358	100	72	491	50	
136	96	26	13	83	19	34	100	50	114	312	418	89	33	159	104	58	92	16	20	185	57	
143	306	99	59	169	111	107	385	68	263	387	519	84	22	208	360	70	250	64	28	224	43	
136	96	26	13	83	19	34	100	50	114	312	418	89	33	159	104	58	92	16	20	185	57	
421	448	135	58	378	170	139	365	102	373	989	1063	157	95	383	335	72	358	100	72	491	50	
0	3	0	0	2	1	1	0	0	3	11	8	0	0	3	4	0	0	0	0	1	0	
557	541	161	71	459	188	172	465	152	484	1290	1473	246	128	539	435	130	450	116	92	675	107	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	2	0	7	3	3	7	0	5	8	9	0	3	3	1	1	1	0	0	8	0	
57	56	29	8	37	28	10	36	12	59	155	226	15	14	39	35	20	53	11	10	71	18	
24	37	18	6	29	19	12	48	21	35	90	82	12	7	27	39	16	27	7	4	70	9	
471	442	108	56	379	137	146	366	117	374	1014	1133	217	103	456	354	90	363	96	77	507	77	
1	1	1	0	2	1	0	2	0	3	6	9	2	0	4	1	2	2	2	1	4	3	
2	1	2	1	5	0	1	5	1	2	9	6	0	0	4	2	1	2	0	0	13	0	
0	3	1	0	0	0	0	0	1	4	6	5	0	0	0	2	0	0	0	0	0	0	
1	1	0	0	0	0	0	1	0	2	2	3	0	1	6	1	0	2	0	0	2	0	
