"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	
927	211	284	322	255	1976	1345	849	287	387	431	510	855	640	277	450	422	325	806	607	458	505	202	167	
900	215	285	365	270	1750	1250	850	310	400	465	540	900	680	300	450	450	340	800	600	510	555	215	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
507	128	172	169	142	955	626	455	192	307	288	378	689	380	149	295	312	206	620	462	357	339	137	133	
147	32	44	51	50	481	298	140	61	27	60	68	78	67	61	93	88	84	84	80	64	106	51	32	
246	55	69	145	78	314	326	255	57	66	117	94	133	233	90	62	50	50	96	58	89	110	27	5	
147	32	44	51	50	481	298	140	61	27	60	68	78	67	61	93	88	84	84	80	64	106	51	32	
507	128	172	169	142	955	626	455	192	307	288	378	689	380	149	295	312	206	620	462	357	339	137	133	
13	1	1	2	0	12	2	7	1	0	5	9	0	0	0	1	0	0	0	0	0	0	0	0	
641	159	215	218	192	1424	922	588	252	334	343	437	767	447	210	387	400	290	704	542	421	445	188	165	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	1	0	0	2	8	4	6	1	3	3	0	4	6	2	4	5	1	2	3	1	1	0	1	
86	17	14	40	29	172	142	69	24	40	44	28	44	74	31	37	7	19	29	47	13	35	12	8	
56	18	14	15	10	78	102	51	16	15	22	20	49	23	5	19	20	17	29	21	17	12	10	4	
478	122	181	160	148	1139	657	452	207	269	268	385	660	336	170	321	332	247	633	461	390	390	166	150	
4	0	1	1	0	10	6	3	1	4	4	3	4	2	0	3	8	1	2	1	0	1	0	1	
3	1	4	1	2	9	7	2	1	2	0	1	5	6	1	1	5	3	5	5	0	3	0	0	
3	0	1	1	1	3	3	3	2	1	2	0	1	0	0	0	10	2	1	2	0	2	0	1	
2	0	0	0	0	5	1	2	0	0	0	0	0	0	1	2	13	0	3	2	0	1	0	0	
