"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №680"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №688"	"УИК №689"	"УИК №692"	"УИК №693"	"УИК №2713"	"УИК №2714"	"УИК №2724"	"УИК №2725"	"УИК №2726"	
1434	1314	161	535	105	1299	1487	52	256	369	97	44	262	493	119	65	372	374	686	1334	194	288	281	1409	1473	231	131	248	622	1330	268	1280	822	406	1042	648	1186	158	293	1254	898	1296	
1400	1300	150	550	90	1200	1400	120	220	320	80	40	230	480	110	60	370	340	670	1270	170	260	260	1300	1400	190	120	200	600	1250	250	1250	800	350	950	660	1170	150	290	1200	880	1300	
0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	14	0	0	0	8	0	0	0	0	0	0	0	
763	786	85	284	44	755	838	51	132	231	60	26	176	283	78	47	233	184	371	694	75	173	159	752	819	150	57	132	349	697	132	654	512	270	562	393	672	97	152	671	460	651	
25	16	13	30	7	67	116	1	13	22	11	3	12	17	4	4	19	25	35	23	6	9	25	18	22	6	23	12	46	57	23	34	13	12	97	28	46	3	6	48	45	55	
612	498	52	208	39	378	446	68	75	67	9	11	42	180	28	9	118	131	264	553	53	78	76	530	559	34	40	56	205	496	81	562	275	68	283	239	452	50	132	481	375	594	
25	16	13	58	7	67	116	1	13	22	11	3	12	17	4	4	19	25	35	23	42	9	25	18	22	6	23	12	46	57	37	34	13	12	105	28	46	3	6	48	45	55	
763	786	85	284	44	755	838	51	132	231	60	26	176	283	78	47	233	184	371	694	75	173	159	752	819	150	57	132	349	697	132	654	512	270	562	393	672	97	152	671	460	651	
15	13	1	1	0	9	12	1	3	1	0	0	3	0	0	0	2	2	7	0	0	0	1	10	8	1	1	0	2	10	7	11	13	2	11	7	10	3	0	4	9	9	
773	789	97	341	51	813	942	51	142	252	71	29	185	300	82	51	250	207	399	717	117	182	183	760	833	155	79	144	393	744	162	677	512	280	656	414	708	97	158	715	496	697	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	8	1	0	1	2	5	0	1	2	1	0	2	3	0	0	1	0	4	7	2	2	3	7	10	0	0	0	4	7	1	3	4	0	5	1	7	0	1	7	5	9	
78	97	6	23	2	113	130	4	7	13	2	0	19	31	12	1	6	16	42	83	15	11	16	114	103	15	5	16	35	92	14	65	58	35	83	35	80	11	18	105	66	80	
61	60	9	19	0	69	56	10	11	33	5	1	15	21	7	5	25	15	40	50	9	30	12	68	82	12	5	9	29	83	13	67	30	24	75	41	72	10	10	55	46	57	
614	601	78	293	48	614	723	36	119	194	62	28	143	241	60	45	214	174	305	562	90	135	145	556	611	122	67	114	315	540	130	531	409	212	473	326	526	74	127	530	360	536	
4	10	2	3	0	8	9	0	1	3	0	0	1	2	1	0	0	1	3	2	1	1	2	7	8	1	0	5	1	11	2	3	3	3	11	5	7	1	1	7	8	9	
3	6	0	2	0	3	3	1	3	1	0	0	4	0	2	0	1	1	3	8	0	1	4	2	8	0	2	0	7	4	1	3	4	3	4	3	9	0	0	4	3	2	
4	6	1	0	0	3	7	0	0	6	1	0	1	2	0	0	0	0	2	3	0	0	0	4	6	3	0	0	2	6	1	2	1	3	1	3	4	0	1	4	4	3	
4	1	0	1	0	1	9	0	0	0	0	0	0	0	0	0	3	0	0	2	0	2	1	2	5	2	0	0	0	1	0	3	3	0	4	0	3	1	0	3	4	1	
