"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	"УИК №1742"	"УИК №1743"	"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	"УИК №1749"	"УИК №1750"	"УИК №1751"	"УИК №1752"	"УИК №1753"	"УИК №1754"	"УИК №1755"	"УИК №1756"	"УИК №1757"	"УИК №1758"	"УИК №1759"	"УИК №1760"	"УИК №1761"	"УИК №1762"	"УИК №1763"	"УИК №1764"	"УИК №1765"	"УИК №1766"	"УИК №1767"	"УИК №1768"	"УИК №1769"	"УИК №1770"	"УИК №1771"	"УИК №1772"	"УИК №1773"	"УИК №1774"	"УИК №1775"	"УИК №1776"	"УИК №1777"	"УИК №1778"	"УИК №1779"	"УИК №1780"	"УИК №1781"	"УИК №1782"	"УИК №1783"	"УИК №1784"	"УИК №1785"	"УИК №1786"	"УИК №1787"	"УИК №1788"	"УИК №1789"	"УИК №1790"	"УИК №1791"	"УИК №1792"	"УИК №1793"	"УИК №1794"	"УИК №1795"	"УИК №1796"	"УИК №1797"	"УИК №1798"	"УИК №1799"	"УИК №1800"	"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	5	14	13	11	10	20	7	7	2	9	7	10	7	11	9	11	4	10	6	12	8	4	2	2	8	5	6	8	6	12	12	9	6	4	3	4	5	9	6	9	5	9	11	7	6	8	7	12	6	6	8	8	15	12	7	10	14	9	4	6	4	10	6	5	9	11	6	11	7	6	10	11	7	12	5	13	16	5	10	12	9	5	10	4	12	2	3	7	8	13	11	5	7	6	6	10	1	11	7	8	9	14	8	2	1	1	0	0	2	
230	152	317	290	247	280	289	270	94	117	126	140	220	161	167	307	251	216	211	158	203	252	96	53	71	267	240	217	248	213	228	295	198	226	197	179	232	189	271	195	221	219	274	300	307	178	238	224	199	253	224	184	137	218	249	231	266	201	218	134	158	140	172	192	156	175	264	187	272	210	207	185	183	222	198	220	230	220	223	268	132	161	123	168	126	218	145	148	184	144	179	195	157	193	220	128	139	98	208	255	169	217	214	217	123	39	16	14	7	23	
48	28	68	84	55	57	62	81	36	28	33	41	47	43	49	78	79	76	79	56	33	104	46	25	39	71	101	65	65	59	85	86	71	94	62	56	82	71	80	64	85	80	98	117	90	77	74	61	69	103	61	76	48	78	88	69	75	69	58	66	53	66	55	70	52	50	75	74	87	61	82	73	63	67	50	86	98	104	64	73	31	28	33	48	41	66	45	56	72	43	57	62	44	68	65	60	52	31	60	99	62	83	75	63	60	21	5	6	5	11	
832	486	1269	1078	940	1113	783	1086	490	448	462	565	917	743	685	1298	1045	874	1053	678	785	1206	481	209	382	979	1096	843	1178	1009	1113	1192	911	1031	919	899	1081	1098	1199	888	1077	1110	1219	1288	1285	980	1106	989	926	1093	1083	995	691	919	1053	969	997	1080	958	681	615	688	721	916	661	844	1080	954	1075	1035	1091	1155	910	943	861	1005	1116	1055	825	968	515	659	577	714	553	947	756	499	953	591	689	856	633	864	908	628	684	404	1012	1143	902	1017	992	1076	592	306	96	139	65	168	
38	18	52	35	54	46	69	24	27	23	17	17	37	44	22	36	33	16	26	16	51	26	8	4	3	24	13	31	27	29	22	46	24	24	23	13	20	31	27	16	30	21	13	32	37	24	17	15	20	28	20	18	20	19	21	18	25	19	27	10	13	9	14	16	13	21	19	24	12	21	25	24	21	27	10	28	20	24	27	32	27	29	27	30	14	43	26	15	26	14	23	31	27	23	44	22	19	11	16	23	23	18	18	21	17	0	3	0	0	1	
7	2	14	10	4	11	13	12	3	7	5	3	7	5	10	11	11	8	8	7	9	7	3	8	2	10	7	9	11	8	8	22	5	10	13	13	5	6	12	11	8	7	11	6	9	5	11	4	4	6	12	8	7	9	8	8	4	10	10	2	6	7	2	9	8	9	7	9	10	5	13	12	5	10	6	9	17	12	6	8	4	3	6	7	7	14	13	6	4	5	7	7	10	10	10	1	7	0	6	9	12	10	4	10	4	2	1	1	0	1	
18	12	28	22	13	17	21	13	3	6	7	6	14	8	17	22	16	8	19	5	22	14	3	3	4	5	9	16	17	17	10	16	10	8	9	5	11	12	9	9	7	6	10	14	13	9	7	7	3	14	6	8	8	7	9	12	21	15	15	3	5	4	2	7	9	5	17	11	12	9	10	11	10	7	18	7	8	8	9	15	5	11	9	11	11	18	12	15	15	5	7	5	8	15	15	11	15	5	16	12	11	13	8	6	3	2	1	0	0	0	
50	33	26	27	27	29	30	26	17	18	27	25	27	36	25	24	25	22	8	8	27	9	0	4	6	10	9	17	20	22	16	26	18	23	12	19	11	17	22	9	22	18	19	12	16	15	17	27	15	12	16	12	29	22	14	12	26	26	16	4	5	9	2	17	14	20	17	11	19	14	15	23	20	8	17	15	19	15	12	23	18	22	18	16	13	21	25	17	23	11	23	12	18	20	24	10	17	6	18	23	17	18	17	24	3	1	0	2	0	1	
