"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	"УИК №1742"	"УИК №1743"	"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	"УИК №1749"	"УИК №1750"	"УИК №1751"	"УИК №1752"	
1226	1330	1146	1171	1210	1196	1116	1216	1285	2430	1310	1254	1335	1421	421	264	460	424	325	538	373	321	310	273	632	454	369	556	200	398	132	564	431	962	424	282	477	222	669	449	422	373	484	100	
1000	1080	915	1190	1230	980	905	1000	1050	2000	1080	1260	1090	1445	435	270	462	440	327	555	385	315	320	271	655	455	385	580	196	412	140	570	435	995	445	290	482	232	685	455	435	377	500	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
674	632	537	577	603	619	658	620	704	1314	715	629	701	720	353	225	400	369	249	468	339	272	271	229	533	398	300	491	181	345	115	476	299	824	357	254	391	193	578	395	378	347	445	78	
34	81	50	50	62	59	63	25	20	63	45	59	79	26	52	34	37	50	70	44	27	33	33	30	68	35	51	38	12	32	10	60	47	61	57	14	63	16	45	36	23	19	29	19	
292	367	328	563	565	302	184	355	326	623	320	572	310	699	30	11	25	21	8	43	19	10	16	12	54	22	34	51	3	35	15	34	89	110	31	22	28	23	62	24	34	11	26	3	
34	81	50	50	62	59	63	25	20	63	45	59	79	26	52	34	37	50	70	44	27	33	33	30	68	35	51	38	12	32	10	60	47	61	57	14	63	16	45	36	23	19	29	19	
674	632	536	577	603	619	658	620	704	1314	715	629	701	720	353	225	400	369	249	468	339	272	271	229	533	398	300	491	181	345	115	476	299	824	357	254	391	193	578	395	378	347	445	78	
0	3	6	6	14	5	0	4	10	24	15	15	8	10	5	0	0	0	0	6	0	0	2	0	4	0	1	3	1	2	1	0	1	19	3	0	0	2	4	0	4	0	0	1	
708	710	580	621	651	673	721	641	714	1353	745	673	772	736	400	259	437	419	319	506	366	305	302	259	597	433	350	526	192	375	124	536	345	866	411	268	454	207	619	431	397	366	474	96	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	8	2	5	7	4	8	3	7	6	8	3	2	4	7	1	12	15	1	1	0	12	21	0	2	13	1	18	1	5	0	2	1	3	5	5	2	2	1	1	2	6	0	1	
120	95	85	111	88	101	89	94	111	226	126	125	108	135	66	34	57	53	54	66	48	40	74	44	89	58	87	71	10	49	27	70	29	161	57	75	59	53	60	53	59	43	49	8	
57	41	35	38	55	89	41	22	45	75	65	56	78	49	72	38	66	60	61	78	56	46	21	16	40	65	19	80	9	42	2	81	35	126	66	21	68	23	28	43	8	54	69	8	
496	546	440	445	483	451	556	499	522	996	518	464	553	520	235	181	249	259	198	354	220	174	176	199	461	252	226	303	171	267	94	369	274	546	269	164	320	126	518	324	324	249	356	74	
8	5	3	5	4	9	9	5	6	14	6	5	12	6	5	2	15	2	1	2	1	11	1	0	2	5	5	12	0	4	0	3	2	9	3	1	2	0	5	4	1	1	0	3	
7	7	5	8	10	10	11	7	11	11	14	10	10	14	4	2	12	8	1	4	1	8	1	0	2	15	8	17	0	1	0	5	3	8	6	2	1	1	1	5	2	8	0	0	
6	3	7	5	2	7	4	8	4	17	4	5	5	4	6	1	13	15	1	1	1	9	7	0	0	10	2	11	0	6	0	2	0	6	3	0	1	0	4	1	0	0	0	0	
4	5	3	4	2	2	3	3	8	8	4	5	4	4	5	0	13	7	2	0	39	5	1	0	1	15	2	14	1	1	1	4	1	7	2	0	1	2	2	0	1	5	0	2	
