"УИК №1387"	"УИК №1523"	"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	"УИК №1540"	"УИК №1541"	"УИК №1542"	"УИК №1543"	"УИК №1544"	"УИК №1545"	"УИК №1546"	"УИК №1547"	"УИК №1548"	"УИК №1549"	"УИК №1550"	"УИК №1551"	"УИК №1552"	"УИК №1553"	"УИК №1554"	"УИК №1555"	"УИК №1556"	"УИК №1557"	"УИК №1558"	"УИК №1559"	"УИК №1560"	"УИК №1561"	"УИК №1562"	"УИК №1563"	"УИК №1564"	"УИК №1565"	"УИК №1566"	
504	783	128	748	457	514	1380	1112	502	1501	609	1854	769	2124	1600	494	339	433	1103	949	717	496	268	484	1290	633	1347	1117	228	1664	678	1078	1056	1104	257	1259	388	611	1249	185	430	1002	148	832	76	
480	750	130	740	450	500	1380	880	490	1450	600	1850	730	2100	1600	480	330	410	1100	950	700	480	245	470	1200	520	1450	1100	210	1650	650	1050	1030	1150	230	1200	400	590	1250	175	400	950	135	800	75	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
307	286	32	285	234	264	706	750	231	897	372	1227	527	1406	814	251	162	179	536	490	337	242	156	283	823	378	967	502	108	767	286	565	573	440	129	629	122	253	662	71	190	456	75	383	41	
13	48	0	33	8	12	35	4	27	54	8	18	20	23	32	17	8	7	17	25	11	4	6	10	13	4	2	16	3	47	13	13	7	59	4	37	14	36	36	10	16	74	9	19	3	
160	416	98	422	208	224	639	126	232	499	220	605	183	671	754	212	160	224	547	435	352	234	83	177	364	138	481	582	99	836	351	472	450	651	97	534	264	301	552	94	194	420	51	398	31	
13	48	0	33	8	12	35	4	27	54	8	18	20	23	32	17	8	7	17	25	11	4	6	10	13	4	2	16	3	47	13	13	7	59	4	37	14	36	36	10	16	74	9	19	3	
307	286	32	285	234	264	706	750	231	897	372	1227	527	1406	814	251	162	179	536	490	337	242	156	283	823	378	967	502	108	767	286	565	573	440	129	627	122	253	662	71	190	456	75	383	41	
11	3	1	3	3	4	11	20	3	7	2	14	7	13	9	5	2	0	4	5	8	1	1	2	15	3	14	7	3	12	5	10	8	6	0	9	1	1	7	0	2	6	0	9	0	
309	331	31	315	239	272	730	734	255	944	378	1231	540	1416	837	263	168	186	549	510	340	245	161	291	821	379	955	511	108	802	294	568	572	493	133	655	135	288	691	81	204	524	84	393	44	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	1	2	3	3	6	2	1	1	0	7	0	1	2	0	0	0	0	3	0	1	0	0	10	2	0	3	0	4	1	4	0	4	1	1	1	1	0	0	1	11	1	6	0	
111	49	3	60	50	50	90	136	36	321	130	405	190	516	228	34	22	29	84	58	61	41	16	50	136	61	152	79	12	154	57	99	112	83	36	84	17	40	110	5	21	59	7	54	4	
7	33	3	26	19	24	42	53	17	44	14	43	17	54	32	15	12	7	31	22	16	15	11	19	69	30	80	29	2	44	19	17	26	28	10	49	13	16	42	6	11	36	8	27	1	
183	240	23	220	165	193	580	520	199	568	234	761	328	837	563	210	134	150	430	422	259	186	134	220	589	274	681	388	94	593	214	443	425	370	84	511	104	229	529	70	169	411	62	299	38	
1	2	0	2	0	0	4	5	2	4	0	4	3	5	4	2	0	0	2	1	1	0	0	0	8	3	26	4	0	6	1	2	6	3	0	1	0	0	5	0	1	2	1	1	1	
1	3	0	3	2	2	6	7	0	5	0	6	2	2	3	1	0	0	0	4	2	1	0	0	3	6	2	4	0	1	0	0	2	2	2	5	0	1	1	0	1	2	3	4	0	
1	2	0	0	0	0	1	8	0	0	0	3	0	0	2	1	0	0	1	0	1	1	0	2	3	2	8	3	0	0	1	2	1	2	0	3	0	1	2	0	0	1	1	0	0	
4	0	1	2	0	0	1	3	0	1	0	2	0	1	3	0	0	0	1	0	0	0	0	0	3	1	6	1	0	0	1	1	0	1	0	1	0	0	2	0	0	2	1	2	0	
