"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	
1103	801	794	1071	118	186	75	363	65	81	428	73	201	340	52	385	88	273	130	139	142	453	
1100	785	785	1060	115	185	78	365	67	82	429	75	200	338	53	384	91	270	133	141	137	455	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
672	700	682	655	92	108	61	332	57	66	371	66	171	233	50	305	73	228	92	107	117	367	
60	56	29	43	8	34	6	12	4	7	24	0	8	44	0	36	3	17	7	7	15	31	
368	29	74	362	15	43	11	21	6	9	34	9	21	61	3	43	15	25	34	27	5	57	
60	56	29	43	8	34	6	12	4	7	24	0	8	44	0	36	3	17	7	7	15	31	
672	700	682	655	92	108	61	332	57	66	371	66	171	233	50	305	73	228	92	107	117	367	
1	2	3	10	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	
731	754	708	688	100	142	66	344	61	73	392	66	179	277	50	339	76	245	99	114	132	398	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	1	8	0	0	2	0	0	0	2	0	0	0	0	2	0	1	0	0	2	0	
102	61	20	68	8	18	2	8	2	1	19	2	12	10	4	31	6	19	17	6	17	11	
52	52	17	52	9	8	6	6	4	4	21	11	6	10	4	18	3	10	21	7	6	15	
554	627	660	554	82	114	54	327	53	68	349	53	161	252	42	287	67	211	60	100	107	368	
6	2	4	1	0	2	1	3	0	0	0	0	0	2	0	0	0	2	0	0	0	2	
6	3	4	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	
2	2	2	0	1	0	1	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	
3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	
