"УИК №2371"	"УИК №2372"	"УИК №2854"	"УИК №3451"	"УИК №3502"	"УИК №3503"	"УИК №3504"	"УИК №3505"	"УИК №3506"	"УИК №3507"	"УИК №3508"	"УИК №3509"	"УИК №3510"	"УИК №3511"	"УИК №3512"	
1188	1147	1294	1116	1148	1124	1211	1119	1179	1109	1109	1127	1160	1225	1272	
1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
871	882	848	828	904	746	815	904	791	787	827	790	778	919	885	
49	47	32	50	61	51	50	52	48	51	23	60	60	29	60	
80	71	120	122	35	203	135	44	161	162	150	150	162	52	55	
49	47	32	50	61	51	50	52	48	51	23	60	60	29	60	
871	882	848	828	904	746	815	899	791	787	827	790	778	919	885	
4	11	7	7	13	9	9	13	10	10	16	8	15	10	7	
916	918	873	871	952	788	856	938	829	828	834	842	823	938	938	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	2	2	4	4	6	2	5	3	7	5	4	8	8	
97	81	75	72	88	81	76	62	100	84	92	92	99	97	107	
47	56	44	37	43	57	56	38	52	42	45	37	60	70	48	
733	756	715	745	791	620	683	813	630	673	662	684	633	732	754	
14	9	17	7	15	18	14	8	13	9	18	10	12	14	9	
8	6	12	3	1	3	5	2	10	5	1	5	7	4	3	
8	3	5	1	4	2	5	1	5	3	5	4	5	5	2	
6	4	3	4	6	3	11	12	14	9	4	5	3	8	7	
