"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	
477	65	401	244	533	124	106	613	1418	594	342	226	262	723	335	414	330	258	655	815	1064	431	225	88	170	177	1146	616	
500	70	440	320	580	180	110	650	1400	600	350	250	320	800	450	450	420	290	650	800	1000	450	280	110	170	200	1000	680	
0	0	0	0	2	0	0	0	0	0	18	0	38	0	0	0	0	0	0	9	4	0	0	0	0	0	0	45	
284	49	299	184	322	96	95	374	839	326	155	115	168	365	222	258	196	157	303	447	493	242	138	85	107	126	610	248	
18	0	10	8	38	3	2	27	79	14	14	34	5	34	22	42	49	27	28	22	39	54	23	2	8	1	105	18	
198	21	131	128	218	81	13	249	482	260	163	101	109	401	206	150	175	106	319	322	464	154	119	23	55	73	285	369	
18	0	10	8	40	3	2	27	79	14	32	34	43	34	22	42	49	27	28	31	43	54	23	2	8	1	105	63	
284	49	299	184	322	96	95	374	839	326	155	115	168	365	222	258	196	157	303	447	493	242	138	85	107	126	610	248	
3	1	4	1	7	0	3	5	19	11	6	3	1	8	3	4	2	1	6	11	6	7	1	4	0	1	9	1	
299	48	305	191	355	99	94	396	899	329	181	146	210	391	241	296	243	183	325	467	530	289	160	83	115	126	706	310	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	2	0	1	0	1	6	7	0	0	0	3	0	2	4	2	2	1	2	1	0	0	1	0	6	3	
24	2	38	54	97	2	5	60	146	51	6	7	18	39	55	23	25	5	72	128	133	28	17	2	28	8	86	44	
36	3	27	28	44	19	15	46	89	47	12	17	26	58	24	26	26	28	45	54	69	64	41	13	15	8	101	39	
234	42	231	97	207	75	74	281	623	215	158	117	155	278	153	243	180	140	196	273	311	192	99	59	70	109	496	215	
2	0	3	6	5	0	0	3	15	2	2	1	2	4	4	2	2	6	2	3	3	2	2	5	1	1	5	3	
0	0	5	1	1	2	0	2	10	3	1	0	2	3	2	0	3	0	3	3	6	0	0	3	0	0	3	4	
1	0	1	3	0	0	0	2	4	3	0	4	5	2	2	0	3	1	4	2	4	1	1	0	0	0	5	1	
1	0	0	0	1	0	0	1	6	1	2	0	2	4	1	0	0	1	1	3	2	1	0	1	0	0	4	1	
