"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	
356	247	232	415	171	343	456	1117	943	255	77	174	166	431	165	240	147	297	121	176	436	438	219	186	86	25	258	199	67	65	305	221	225	249	303	254	155	108	75	176	165	974	1079	1601	1597	1112	1135	489	54	
365	250	230	410	170	335	470	1150	945	265	80	185	165	405	155	245	135	300	120	185	440	445	220	205	85	26	265	210	69	65	310	215	225	250	285	253	150	110	130	170	175	1000	1100	1600	1690	1110	1150	505	56	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
223	145	113	294	77	243	312	764	587	170	43	115	96	204	84	110	84	155	63	93	308	213	167	112	60	22	140	117	22	23	172	80	108	158	118	104	62	55	65	83	84	746	867	836	986	636	587	268	29	
55	62	77	75	74	58	69	111	76	68	31	44	33	122	57	89	51	47	28	23	41	99	32	50	10	3	47	30	28	23	38	79	73	46	127	102	57	6	10	46	22	38	38	87	103	67	52	131	18	
87	43	40	41	19	34	89	275	282	27	6	26	36	79	14	46	0	98	29	69	91	133	21	43	15	1	78	63	19	19	100	56	44	46	40	47	31	49	55	41	69	216	195	677	601	407	511	106	9	
55	62	77	75	74	58	69	111	76	68	31	44	33	122	57	89	51	47	28	23	41	99	32	50	10	3	47	30	28	23	38	79	73	46	127	102	57	6	10	46	22	38	38	87	103	67	52	131	18	
223	145	113	294	77	243	312	764	587	170	43	115	96	204	84	110	84	155	63	93	308	213	167	112	60	22	140	117	22	23	172	80	108	158	118	104	62	55	65	83	84	746	867	836	986	636	587	268	29	
2	0	0	0	0	0	11	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	10	6	8	10	9	9	3	0	
276	207	190	369	151	301	370	871	663	238	74	159	129	326	141	199	135	200	91	116	347	312	199	162	70	25	186	147	50	46	210	159	181	204	243	206	119	61	75	129	105	774	899	915	1079	694	630	396	47	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	2	2	0	0	0	4	7	1	0	0	0	2	0	0	0	0	1	1	1	2	0	1	1	0	2	4	0	0	1	0	0	0	1	0	0	0	1	0	4	7	2	26	5	4	7	0	0	
18	8	11	23	11	20	16	40	50	10	1	8	7	19	7	18	5	27	6	10	35	27	9	16	2	0	24	12	2	0	24	14	7	11	21	19	15	8	9	9	7	90	114	36	87	75	127	34	0	
24	7	15	16	5	12	18	28	25	8	3	2	5	38	9	14	9	17	3	9	18	23	5	6	2	1	25	4	1	3	12	9	3	14	7	17	2	1	3	7	4	31	62	28	68	28	48	31	2	
228	191	153	322	131	266	334	784	573	218	70	148	114	262	123	167	121	146	79	94	289	257	179	139	63	24	131	125	46	42	169	135	169	179	211	164	98	52	62	112	88	637	705	777	899	570	432	326	45	
0	0	2	3	1	2	0	2	6	1	0	0	1	1	0	0	0	0	0	1	1	1	2	0	2	0	3	1	0	0	1	0	0	0	1	1	2	0	0	0	1	3	6	9	4	2	0	3	0	
0	0	6	0	2	1	0	2	0	0	0	0	0	4	2	0	0	3	2	0	2	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	5	4	9	6	2	6	2	0	
0	0	1	3	0	0	1	3	1	0	0	1	0	0	0	0	0	5	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	2	3	0	0	0	0	0	1	5	15	3	6	6	0	0	
2	0	0	0	1	0	1	8	1	0	0	0	2	0	0	0	0	2	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	0	0	2	0	0	0	1	1	0	1	15	7	7	4	0	0	
