"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	
2422	1996	2450	1261	1772	1539	937	2248	
2000	1600	1900	1000	1577	1200	832	1900	
0	0	0	0	0	0	0	0	
1462	1253	1563	853	1526	1027	677	1605	
32	17	34	24	18	63	18	9	
506	330	303	123	33	110	137	286	
32	17	34	24	18	63	18	9	
1461	1253	1559	853	1526	1027	677	1605	
17	12	24	9	12	16	9	20	
1476	1258	1569	868	1532	1074	686	1594	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

12	13	16	8	11	13	5	9	
140	129	164	99	180	107	67	163	
73	84	94	30	76	76	31	110	
1164	958	1207	665	1138	823	560	1240	
42	30	40	26	55	32	7	29	
6	10	12	9	12	5	3	8	
17	10	20	8	25	4	8	17	
22	24	16	23	35	14	5	18	
