"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	
1188	712	1129	1560	344	1385	534	1443	677	402	408	371	242	152	240	249	147	85	225	558	1105	604	362	114	724	
1290	720	1170	1620	400	1405	530	1510	715	415	420	390	250	180	295	310	170	100	245	620	1270	615	385	160	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
812	338	572	1016	275	1021	417	999	347	274	308	294	175	115	174	181	112	63	165	345	882	337	269	91	481	
145	104	60	120	39	243	33	100	91	39	40	18	28	13	26	32	7	8	35	91	87	151	32	17	99	
333	278	538	484	86	141	80	411	277	102	72	78	47	52	95	97	51	29	45	184	301	127	84	52	270	
145	104	60	120	39	243	33	100	91	39	40	18	28	13	26	32	7	8	35	91	87	151	32	17	99	
812	338	572	1016	275	1021	417	999	347	274	308	294	175	115	174	181	112	63	165	345	882	337	269	91	481	
9	3	0	5	5	4	4	6	1	2	6	1	2	2	0	2	2	1	2	2	1	2	1	2	3	
948	439	632	1131	309	1260	446	1093	437	311	342	311	201	126	200	211	117	70	198	434	968	486	300	106	577	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	2	12	0	8	1	7	1	0	1	1	5	1	1	1	1	0	1	4	1	1	0	0	0	
16	54	86	165	4	86	15	165	50	29	26	32	10	3	49	16	9	4	6	40	22	7	12	3	14	
124	45	69	102	28	55	51	80	62	50	22	12	13	17	10	22	10	8	32	28	86	62	44	5	35	
789	324	458	819	272	1079	357	823	308	230	287	262	163	104	137	167	95	57	152	353	851	394	235	94	514	
6	5	3	12	1	8	8	7	2	1	2	3	0	1	1	4	0	0	1	1	2	4	4	1	5	
2	2	8	8	2	7	6	3	5	0	2	0	5	0	0	1	0	1	3	5	3	8	4	1	8	
6	2	4	6	2	3	3	4	6	0	1	1	3	0	2	0	2	0	2	1	2	6	0	0	1	
2	4	2	7	0	14	5	4	3	1	1	0	2	0	0	0	0	0	1	2	1	4	1	2	0	
