"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	
1861	1615	1832	2657	2629	1732	2271	1144	1573	2836	
1900	1730	1880	2650	2700	1730	2330	1170	1600	2910	
0	0	0	0	0	0	0	0	0	0	
1476	1602	1576	2359	1531	1479	1921	972	1182	2275	
23	13	10	16	0	11	20	0	7	11	
401	115	294	275	1169	240	389	198	411	624	
23	13	10	16	0	11	20	0	7	11	
1476	1602	1576	2359	1531	1479	1921	972	1182	2264	
0	0	2	1	0	11	1	5	4	0	
1499	1615	1584	2374	1531	1479	1940	967	1185	2275	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

30	1	1	0	1	0	4	2	0	0	
161	139	92	115	124	135	400	122	69	86	
4	3	1	1	1	3	5	1	0	1	
1189	1453	1488	2253	1400	1339	1521	835	1110	2181	
25	3	2	2	4	1	3	5	2	5	
28	11	0	3	1	1	2	0	2	2	
33	2	0	0	0	0	3	0	1	0	
29	3	0	0	0	0	2	2	1	0	
