"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	
1181	1441	1557	255	285	335	296	550	472	966	1836	1450	329	357	555	904	
1200	1550	1650	250	250	300	250	500	450	1000	1900	1400	300	350	550	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
771	987	868	105	185	214	197	291	321	576	1170	645	201	241	288	510	
133	106	125	87	50	44	28	49	64	191	174	258	35	54	104	129	
296	457	657	58	15	42	25	160	65	233	556	497	64	55	158	261	
133	106	125	87	50	44	28	49	64	191	174	258	35	54	104	129	
771	987	868	105	185	214	197	291	321	576	1170	645	201	241	288	510	
3	13	9	1	0	6	0	4	2	8	24	10	3	1	4	4	
901	1080	984	191	235	252	225	336	383	759	1320	893	233	294	388	635	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	5	6	0	1	0	3	3	0	1	9	6	1	0	2	3	
134	145	109	15	11	23	16	35	32	65	147	137	38	43	39	46	
62	114	91	21	28	30	10	33	32	46	116	89	38	28	24	46	
671	793	750	154	193	193	189	262	311	634	1020	647	155	218	316	534	
7	9	9	1	1	0	2	2	5	5	9	4	1	3	4	2	
8	2	12	0	1	3	5	1	2	4	9	6	0	2	3	1	
3	4	6	0	0	2	0	0	0	2	6	2	0	0	0	2	
7	8	1	0	0	1	0	0	1	2	4	2	0	0	0	1	
