"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №949"	
2264	2381	2175	966	1111	825	166	495	573	67	356	80	189	395	676	362	
2300	2500	2200	1000	1300	900	170	500	600	80	350	80	200	400	700	370	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1277	1279	1209	597	867	511	88	336	335	38	261	55	134	260	417	265	
69	133	75	81	114	56	19	94	118	23	45	13	16	37	83	26	
954	1088	916	322	319	333	63	70	147	19	44	12	50	103	200	79	
69	133	75	81	114	56	19	94	118	23	45	13	16	37	83	26	
1277	1279	1208	597	753	511	88	336	335	38	261	55	134	260	417	265	
14	22	20	4	12	5	3	0	10	1	0	0	1	8	5	3	
1332	1390	1263	674	855	562	104	430	443	60	306	68	149	289	495	288	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	11	14	1	1	1	1	1	2	1	1	2	0	2	3	1	
386	400	411	256	206	161	45	50	119	16	56	19	34	71	199	51	
140	135	110	7	9	6	3	14	27	3	16	2	19	23	46	19	
770	822	703	406	635	390	53	364	282	39	229	45	92	191	240	214	
9	4	7	1	1	1	1	0	5	1	0	0	0	1	5	2	
8	10	7	1	1	1	0	0	3	0	2	0	3	0	2	1	
5	2	5	1	1	1	0	0	1	0	2	0	1	1	0	0	
5	6	6	1	1	1	1	1	4	0	0	0	0	0	0	0	
