"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	
559	573	627	583	109	122	290	97	234	190	286	185	
500	530	610	540	120	130	280	110	230	200	310	210	
0	0	0	0	0	0	0	0	0	0	0	0	
328	334	364	340	64	86	199	85	103	135	177	102	
52	34	70	65	28	10	35	8	53	24	34	68	
120	162	176	135	28	34	46	17	74	41	99	40	
52	34	70	65	28	10	35	8	53	24	34	68	
328	334	364	340	64	86	199	85	103	135	177	102	
4	2	3	4	0	1	1	0	2	1	0	0	
376	366	431	401	92	95	233	93	154	158	211	170	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

1	3	2	2	1	0	4	3	0	2	2	2	
52	49	45	37	6	5	24	3	20	7	18	13	
46	38	70	37	10	12	20	7	16	13	22	18	
262	264	306	315	74	78	178	78	117	133	164	135	
8	7	4	3	0	0	3	2	0	2	1	1	
4	2	2	3	1	0	2	0	1	1	1	0	
1	2	1	4	0	0	0	0	0	0	1	0	
2	1	1	0	0	0	2	0	0	0	2	1	
