"УИК №2410"	"УИК №2411"	"УИК №2412"	"УИК №2413"	"УИК №2414"	"УИК №2415"	"УИК №2416"	"УИК №2417"	"УИК №2418"	"УИК №2419"	"УИК №2420"	"УИК №2421"	"УИК №2422"	"УИК №2423"	"УИК №2424"	"УИК №2425"	"УИК №2426"	"УИК №2427"	"УИК №2428"	"УИК №2429"	"УИК №2430"	"УИК №2431"	"УИК №2432"	"УИК №2433"	"УИК №2434"	"УИК №2435"	"УИК №2436"	"УИК №2437"	"УИК №2438"	"УИК №2439"	"УИК №2440"	"УИК №2441"	"УИК №2442"	"УИК №2443"	"УИК №2444"	
1029	1312	1964	2491	2274	2187	1058	723	1978	1441	1477	1457	1888	1125	2342	2066	2266	2193	2664	2512	1834	2071	1679	1986	1946	1372	1961	1772	617	1144	909	682	1234	893	1210	
1000	1300	1900	2450	2200	2100	1000	700	1900	1400	1400	1400	1800	1100	2200	2000	2250	2200	2700	2400	1850	2000	1650	1900	1950	1200	1950	1600	600	1100	800	600	1100	800	1100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	65	
637	860	1218	1413	1354	1226	575	379	1258	885	988	884	1106	714	1485	1332	1535	1439	1856	1423	1001	1059	1018	1078	1147	792	1070	868	409	654	550	424	670	606	669	
18	18	25	51	26	31	7	13	26	15	20	23	38	20	20	12	20	11	15	120	37	32	24	41	30	20	25	20	9	66	25	20	41	68	76	
345	422	657	986	820	843	418	308	616	500	392	493	656	366	695	656	695	750	829	857	812	909	608	781	773	388	855	712	182	354	225	156	389	126	290	
18	18	25	51	26	31	7	13	26	15	20	23	38	20	20	12	20	11	15	120	37	32	24	41	30	20	25	20	9	92	25	20	41	68	141	
637	860	1218	1413	1354	1226	575	379	1258	885	988	884	1106	714	1485	1332	1535	1439	1856	1422	1001	1059	1018	1078	1147	792	1070	868	409	654	550	424	670	606	669	
4	11	6	16	12	26	11	5	14	13	12	13	15	7	16	10	21	10	23	15	13	6	11	8	16	11	3	17	5	6	13	9	3	10	3	
651	867	1237	1448	1368	1231	571	387	1270	887	996	894	1129	727	1489	1334	1534	1440	1848	1527	1025	1085	1031	1111	1161	801	1092	871	413	740	562	435	708	664	807	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	6	9	11	14	7	7	2	10	5	2	4	7	9	12	9	15	11	14	15	3	8	7	10	12	8	9	3	5	3	0	2	8	7	2	
67	74	132	172	131	123	47	38	112	71	101	84	113	55	152	117	129	139	218	179	127	116	119	107	157	77	136	141	41	117	53	55	66	79	79	
48	68	91	94	104	80	46	29	100	55	66	68	87	50	104	96	102	115	142	104	94	90	70	85	81	66	97	73	19	65	22	33	45	59	90	
499	680	953	1113	1070	956	450	304	1001	722	767	707	887	582	1170	1054	1216	1130	1371	1187	768	835	794	878	877	631	811	634	324	526	466	332	569	509	619	
13	13	27	18	20	30	10	3	19	15	20	9	5	19	24	21	29	16	45	21	9	12	20	10	13	8	23	7	12	18	10	6	10	6	9	
7	6	8	12	10	7	4	2	10	7	10	8	8	4	4	6	10	11	12	6	9	7	4	9	4	3	5	10	1	7	2	3	2	1	4	
6	6	7	13	9	13	1	6	6	5	21	7	14	2	9	15	18	8	24	7	2	7	8	5	7	4	7	1	2	4	4	2	5	2	0	
3	14	10	15	10	15	6	3	12	7	9	7	8	6	14	16	15	10	22	8	13	10	9	7	10	4	4	2	9	0	5	2	3	1	4	
