"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	
504	524	434	411	413	427	411	336	204	252	435	368	401	629	380	215	310	157	345	213	426	419	
430	470	400	390	380	380	390	340	180	230	390	340	370	630	350	190	280	130	320	200	400	360	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
321	346	272	285	293	239	321	263	126	182	287	184	237	345	252	143	169	76	242	150	256	297	
74	85	124	96	58	107	28	45	52	26	83	61	95	174	88	42	98	54	76	48	73	51	
35	39	4	9	29	34	41	32	2	22	20	95	38	111	10	5	13	0	2	2	71	12	
74	85	124	96	58	107	28	45	52	26	83	61	95	174	88	42	98	54	76	48	73	51	
321	346	272	285	293	239	321	263	126	182	287	184	237	345	252	143	169	76	242	150	256	297	
10	37	16	1	19	6	10	3	0	0	0	1	7	14	16	0	1	4	0	0	8	0	
385	394	380	380	332	340	339	305	178	208	370	244	325	505	324	185	266	126	318	198	321	348	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	0	2	3	2	2	3	0	1	1	0	2	2	1	2	2	0	0	0	1	2	
12	18	16	5	13	20	11	4	10	13	22	34	10	29	19	7	15	5	10	3	10	26	
29	17	16	12	14	19	9	8	17	5	23	7	13	30	21	9	17	5	17	3	23	19	
336	349	344	359	299	294	311	287	151	186	323	199	297	433	274	165	225	114	286	191	281	300	
1	4	0	0	1	0	3	1	0	1	0	0	1	4	3	2	2	1	0	0	3	1	
2	3	2	1	2	3	1	1	0	1	1	3	2	4	5	0	4	0	4	0	0	0	
4	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	
0	0	1	0	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	1	2	0	
