"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	
71	102	402	280	255	319	272	731	246	194	149	464	369	1391	1207	945	208	208	438	674	504	507	104	173	
74	102	435	306	272	328	274	787	283	213	162	493	388	1450	1290	1010	221	227	463	755	516	522	103	181	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61	97	251	200	190	275	215	627	185	130	108	324	245	976	834	713	160	162	303	611	478	470	79	129	
6	4	87	38	27	16	33	49	34	42	21	71	66	150	167	57	19	29	61	21	17	33	20	28	
7	1	97	68	55	37	26	111	64	41	33	98	77	324	289	240	42	36	99	123	21	19	4	24	
6	4	87	38	27	16	33	49	34	42	21	71	66	150	167	57	19	29	61	21	17	33	20	28	
61	97	251	200	190	275	215	627	185	130	108	324	245	976	834	712	160	162	303	611	478	470	79	129	
0	2	2	2	0	0	2	0	2	0	0	1	1	8	5	17	2	0	0	5	8	10	0	0	
67	99	336	236	217	291	246	676	217	172	129	394	310	1118	996	752	177	191	364	627	487	493	99	157	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	2	1	0	0	1	0	1	0	0	2	2	2	5	0	0	1	0	0	1	0	0	
5	1	50	15	12	60	15	100	14	24	13	25	16	216	184	111	18	24	32	7	5	10	3	11	
1	1	8	3	6	4	14	17	6	8	2	10	9	7	18	17	6	4	6	1	2	2	2	6	
61	97	273	212	194	226	217	553	197	138	113	356	280	890	782	603	152	163	318	619	476	477	92	140	
0	0	2	2	1	0	0	1	0	0	1	0	0	1	2	5	0	0	1	0	1	2	0	0	
0	0	0	0	2	1	0	2	0	1	0	2	2	1	3	8	1	0	3	0	2	0	0	0	
0	0	2	0	0	0	0	1	0	0	0	1	1	1	3	1	0	0	3	0	1	0	2	0	
0	0	1	2	1	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	
