"УИК №2701"	"УИК №2702"	"УИК №2703"	"УИК №2704"	"УИК №2705"	"УИК №2706"	"УИК №2707"	"УИК №2708"	"УИК №2709"	"УИК №2710"	"УИК №2711"	"УИК №2712"	"УИК №2713"	"УИК №2714"	"УИК №2715"	"УИК №2716"	"УИК №2717"	"УИК №2718"	"УИК №2719"	
1816	1950	1698	2407	2133	698	825	718	620	188	927	431	329	602	866	815	672	167	515	
2250	2520	2100	2726	2600	850	1150	1050	800	250	1150	600	500	850	1350	1020	1000	199	740	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1209	1254	1120	1522	1252	476	548	540	408	123	716	303	179	350	494	557	576	117	370	
282	217	156	178	260	182	212	135	129	38	164	128	119	202	301	150	64	41	100	
759	1049	824	1026	1088	192	390	375	263	89	270	169	202	298	555	313	360	41	270	
282	217	156	178	260	182	212	135	129	38	164	128	119	202	301	150	64	41	100	
1209	1254	1120	1520	1252	476	548	540	408	123	716	303	179	350	494	557	576	117	370	
13	22	20	13	15	3	5	11	1	0	4	3	0	2	3	9	4	0	2	
1478	1449	1256	1685	1497	655	755	664	536	161	876	428	298	550	792	698	636	158	468	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	7	4	8	11	0	4	2	4	1	1	3	0	2	3	2	6	0	1	
183	158	167	244	188	63	57	107	84	12	73	24	5	61	58	61	60	10	61	
84	106	73	122	92	20	40	55	41	9	56	41	7	14	22	30	32	17	13	
1166	1150	988	1285	1172	565	637	486	394	134	728	353	286	459	696	599	524	130	391	
15	9	9	7	10	3	7	7	3	1	3	1	0	6	2	3	10	1	0	
12	10	9	11	9	3	6	6	5	2	11	4	0	6	6	2	2	0	1	
4	6	2	3	8	0	2	0	4	1	0	2	0	2	1	1	2	0	1	
7	3	4	5	7	1	2	1	1	1	4	0	0	0	4	0	0	0	0	
