"УИК №3201"	"УИК №3202"	"УИК №3203"	"УИК №3204"	"УИК №3205"	"УИК №3206"	"УИК №3207"	"УИК №3208"	"УИК №3209"	"УИК №3210"	"УИК №3211"	"УИК №3212"	"УИК №3213"	"УИК №3214"	"УИК №3215"	"УИК №3216"	"УИК №3217"	"УИК №3218"	"УИК №3219"	"УИК №3220"	"УИК №3221"	"УИК №3222"	"УИК №3223"	"УИК №3224"	"УИК №3225"	"УИК №3226"	"УИК №3227"	"УИК №3228"	"УИК №3229"	"УИК №3230"	"УИК №3231"	
1486	1988	1967	1725	360	792	1243	2037	1074	1380	318	623	703	351	334	244	258	941	413	212	2221	183	165	687	647	327	813	454	1941	1891	21	
1300	1900	1900	1600	330	750	1000	1800	950	1200	300	650	640	340	320	245	230	950	400	190	2000	180	150	650	650	320	780	430	1700	1700	80	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
742	1028	987	954	278	410	826	1236	800	667	204	435	548	258	276	190	143	781	304	121	1184	134	129	495	405	215	533	254	1614	1456	21	
116	286	98	74	26	107	146	99	135	270	53	81	67	57	44	38	87	128	67	53	145	29	21	150	178	85	167	124	62	116	0	
442	586	815	572	26	233	28	465	15	263	43	134	25	25	0	17	0	41	29	16	671	17	0	5	67	20	80	52	24	128	59	
116	286	98	74	26	107	146	99	135	270	53	81	67	57	44	38	87	128	67	53	145	29	21	150	178	85	167	124	62	116	0	
742	1028	987	954	278	410	826	1236	800	667	204	434	548	258	276	190	143	781	304	121	1184	134	129	495	405	215	533	254	1614	1456	21	
0	7	9	13	1	3	8	12	5	13	1	5	1	0	1	1	1	3	2	1	13	2	0	2	1	0	2	3	6	8	0	
858	1307	1076	1015	303	514	964	1323	930	924	256	510	614	315	319	227	229	906	369	173	1316	161	150	643	582	300	698	375	1670	1564	21	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	6	8	9	3	0	4	7	2	5	0	2	0	0	2	1	0	3	1	0	8	0	2	1	1	1	4	1	4	6	0	
93	115	121	119	21	76	74	134	47	81	14	44	38	24	13	15	12	80	46	30	151	10	10	28	25	17	32	13	208	336	5	
40	36	41	34	13	25	29	50	24	37	10	21	17	10	12	8	8	33	10	12	65	6	1	20	30	16	23	18	60	39	0	
695	1119	878	820	259	405	835	1109	845	794	226	434	555	275	287	201	201	782	307	128	1055	142	136	584	515	264	630	333	1364	1144	16	
12	14	5	8	3	3	9	8	2	1	2	4	0	4	2	0	4	3	1	3	14	2	0	7	3	0	4	4	16	16	0	
5	6	7	6	1	3	7	6	5	3	3	2	3	0	2	0	0	1	2	0	14	1	0	1	5	0	2	5	4	4	0	
6	7	9	6	3	0	4	3	2	2	1	1	1	1	1	2	2	3	2	0	7	0	1	1	3	1	1	1	8	13	0	
4	4	7	13	0	2	2	6	3	1	0	2	0	1	0	0	2	1	0	0	2	0	0	1	0	1	2	0	6	6	0	
