"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	
2126	1840	3013	1127	
1800	1500	2400	1000	
0	0	0	0	
1254	1195	2009	666	
88	65	92	108	
458	240	299	226	
88	65	92	108	
1251	1194	2002	666	
32	24	22	15	
1307	1235	2072	759	
0	0	0	0	
0	0	0	0	

8	10	10	10	
181	130	226	102	
84	72	105	27	
949	950	1609	579	
34	34	43	17	
9	9	21	4	
17	6	20	6	
25	24	38	14	
