"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №3613"	"УИК №3614"	
3341	2349	2438	1933	2544	2892	2958	2821	2547	2367	2198	2063	2471	2544	915	1424	
2400	2000	1900	1500	2000	2000	2100	2400	2000	1700	2000	1700	2100	2000	900	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1755	1244	1365	1113	1352	1715	1545	1708	1411	1331	1372	1231	1485	1537	440	1025	
60	45	63	54	47	87	62	75	177	54	79	60	68	73	201	354	
585	711	472	333	601	198	493	617	412	315	549	409	547	390	259	421	
60	45	63	54	47	87	62	75	177	54	78	60	68	73	200	354	
1755	1243	1362	1111	1349	1710	1542	1703	1411	1327	1369	1231	1482	1531	439	1023	
17	27	16	18	9	32	14	24	12	18	22	24	17	16	10	26	
1798	1261	1409	1147	1387	1765	1590	1754	1576	1363	1425	1267	1533	1588	629	1351	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	18	17	16	11	26	15	16	20	10	14	14	21	23	3	10	
204	154	227	163	195	267	200	244	242	179	197	155	196	203	84	170	
60	32	38	41	48	65	33	67	55	67	67	41	55	62	45	90	
1369	814	924	757	875	1145	1079	1202	1015	955	905	857	1014	1092	465	967	
76	126	97	84	124	125	111	101	112	69	110	95	99	98	9	52	
9	10	13	3	10	14	13	8	9	12	13	17	15	6	2	8	
27	35	22	30	33	46	39	36	26	29	30	24	43	29	1	19	
43	72	71	53	91	77	100	80	97	42	89	64	90	75	20	35	
