"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	
1047	2090	973	1697	1720	1005	1004	1004	918	998	949	913	936	988	921	903	908	812	896	1031	1034	898	572	351	258	369	485	162	138	349	252	250	153	347	171	433	200	106	695	231	222	319	119	487	209	717	150	365	121	77	537	155	107	438	85	89	380	100	413	86	109	
1000	2000	950	1700	1700	1000	1000	1000	900	950	900	800	900	1000	900	850	900	750	850	1000	1000	900	500	300	250	350	500	170	150	350	250	250	150	350	170	450	200	100	700	200	200	300	120	460	200	700	100	350	110	70	550	140	100	400	80	80	350	100	400	85	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
527	1166	463	958	1059	522	564	552	501	473	547	474	554	505	555	391	423	345	457	476	503	471	361	220	149	196	318	114	85	247	158	177	121	235	132	320	145	66	409	131	109	172	87	281	140	381	93	241	100	50	337	103	66	231	47	50	253	69	293	68	77	
37	83	20	65	100	31	54	38	13	21	31	102	60	35	18	25	28	27	58	27	36	24	58	25	9	11	38	5	10	26	19	7	12	24	12	27	11	3	36	10	25	14	8	48	16	69	6	18	6	2	27	20	6	28	2	6	14	5	21	6	12	
436	751	467	677	541	447	382	410	386	456	322	224	286	460	327	434	449	378	335	497	461	405	81	55	92	143	144	51	55	77	73	66	17	91	26	103	44	31	255	59	66	114	25	131	44	250	1	91	4	18	186	17	28	141	31	24	83	26	86	11	11	
37	83	20	65	100	31	54	38	13	21	31	102	60	35	18	25	28	27	58	27	36	24	58	25	9	11	38	5	10	26	19	7	12	24	12	27	11	3	36	10	25	14	8	48	16	69	6	18	6	2	27	20	6	28	2	6	14	5	21	6	12	
527	1166	463	958	1059	522	564	552	501	473	547	474	554	505	555	391	423	345	457	476	503	471	361	220	149	196	318	114	85	247	158	177	121	235	132	320	145	66	409	131	109	172	87	281	140	381	93	241	100	50	337	103	66	231	47	50	253	69	293	68	77	
13	16	5	18	20	11	5	10	8	8	11	5	13	2	13	7	5	4	7	10	6	5	7	1	4	3	3	2	0	5	0	2	0	1	0	7	1	0	9	1	0	7	0	2	1	6	2	4	2	0	4	2	1	6	0	0	3	0	2	0	2	
551	1233	478	1005	1139	542	613	580	506	486	567	571	601	538	560	409	446	368	508	493	533	490	412	244	154	204	353	117	95	268	177	182	133	258	144	340	155	69	436	140	134	179	95	327	155	444	97	255	104	52	360	121	71	253	49	56	264	74	312	74	87	
