"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	
2363	2780	2643	2603	379	1091	1797	1263	2209	1902	2612	2527	994	179	1093	707	456	741	2599	236	1165	870	1218	1216	292	1146	
2417	2716	2648	2626	383	1136	1785	1300	2273	1932	2640	2535	1012	170	1120	719	453	746	2616	230	1193	920	1250	1240	294	1146	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1583	1990	1806	1861	268	483	1130	577	1638	1369	1306	2008	629	151	810	630	394	522	2173	151	788	604	837	696	252	700	
473	310	388	342	97	314	377	202	330	323	339	362	282	19	210	50	46	189	261	76	321	182	265	295	27	311	
361	416	454	423	18	339	278	521	305	240	995	165	101	0	100	39	13	35	182	3	84	134	148	249	15	135	
473	310	388	342	97	314	377	202	330	323	339	362	282	19	210	50	46	189	261	76	321	182	265	295	27	311	
1583	1990	1806	1861	268	483	1130	577	1638	1369	1306	2008	628	151	810	630	394	522	2173	151	788	604	837	696	252	700	
19	25	19	11	5	12	18	9	20	9	28	12	1	0	6	3	0	2	11	0	8	6	12	7	2	7	
2037	2275	2175	2192	360	785	1489	770	1948	1683	1617	2358	909	170	1014	677	440	709	2423	227	1101	780	1090	984	277	1004	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	10	16	20	0	2	2	5	11	13	6	15	1	0	3	0	2	8	7	0	4	4	3	7	0	4	
79	262	322	95	15	91	46	136	78	50	226	121	58	12	75	43	21	34	78	15	66	74	66	129	21	68	
91	110	64	110	17	43	105	67	116	117	92	124	55	9	60	33	37	43	117	16	120	43	27	59	3	102	
1773	1838	1737	1870	324	641	1333	550	1695	1451	1259	2062	778	149	853	595	372	614	2094	192	898	640	980	762	252	816	
27	23	11	15	2	2	2	4	12	10	14	16	8	0	4	2	3	0	16	1	6	2	5	10	1	6	
6	13	5	35	2	3	0	5	12	11	7	9	5	0	9	2	3	5	34	3	1	8	3	9	0	3	
14	14	11	24	0	3	1	3	7	16	7	3	2	0	2	2	2	2	30	0	4	4	4	3	0	3	
36	5	9	23	0	0	0	0	17	15	6	8	2	0	8	0	0	3	47	0	2	5	2	5	0	2	
