"УИК №2517"	"УИК №2518"	"УИК №2519"	"УИК №2520"	"УИК №2521"	"УИК №2522"	"УИК №2523"	"УИК №2524"	"УИК №2525"	
2071	1969	1663	2269	2109	1112	2831	1844	2025	
1700	2000	1600	2500	2000	1000	2500	1700	2000	
0	0	0	0	0	0	0	0	0	
1241	1119	926	1337	1245	671	1737	965	1184	
17	27	27	15	22	18	23	20	16	
442	854	647	1148	733	311	740	715	800	
17	27	27	15	22	18	23	20	16	
1239	1117	925	1337	1245	671	1737	965	1182	
7	18	7	27	28	11	35	15	20	
1249	1126	945	1325	1239	678	1725	970	1178	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

9	7	5	9	4	2	10	10	9	
133	103	95	124	114	68	172	95	124	
64	85	62	93	96	44	95	56	67	
949	870	739	1027	958	535	1346	764	917	
48	26	26	33	42	16	49	21	20	
9	13	5	13	8	5	7	7	8	
13	6	8	8	8	5	22	11	17	
24	16	5	18	9	3	24	6	16	
