"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	
1511	1168	2130	2238	1619	1831	1167	697	1551	824	446	944	2444	1676	1238	1058	1309	1182	1814	1582	1510	877	823	2092	538	699	649	739	543	1739	563	1589	
1300	1100	1600	1800	1300	1400	950	650	1300	750	650	700	1900	1350	1000	850	1000	1000	1400	1300	1250	750	700	1650	420	650	550	610	420	1450	470	1320	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1125	886	1434	1577	1139	1340	817	473	1160	421	429	630	1785	1169	795	681	791	770	1227	1116	1055	569	513	1255	322	427	431	469	379	1154	370	1107	
15	22	136	54	45	37	24	37	44	14	17	28	14	54	33	51	62	33	34	38	38	16	35	56	3	23	27	21	19	46	25	59	
160	192	29	169	116	23	109	140	96	315	204	42	101	127	172	118	147	197	139	146	157	165	152	339	95	200	92	120	22	250	75	154	
15	22	136	54	45	37	24	37	44	14	17	28	14	54	33	51	62	33	34	38	38	16	35	56	3	23	27	21	19	46	25	59	
1125	886	1433	1577	1139	1340	817	473	1160	420	429	630	1784	1169	795	681	791	770	1227	1116	1055	569	513	1255	322	427	431	469	379	1154	370	1107	
12	7	14	17	9	12	7	1	12	4	4	7	20	14	6	12	11	7	12	12	5	8	5	16	4	3	4	2	3	14	1	3	
1128	901	1555	1614	1175	1365	834	509	1192	430	442	651	1778	1209	822	720	842	796	1249	1142	1088	577	543	1295	321	447	454	488	395	1186	394	1163	
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	4	4	3	0	0	2	8	2	0	2	3	4	0	1	1	1	1	0	1	0	3	6	1	1	2	4	1	1	2	0	
43	28	58	38	34	39	32	10	41	10	13	10	81	45	19	25	20	19	38	33	28	20	11	41	7	21	7	17	12	42	14	23	
42	27	41	42	37	36	29	11	38	10	13	21	55	29	17	26	21	13	50	28	34	26	19	29	7	12	8	9	10	24	9	21	
1012	828	1427	1515	1079	1276	764	482	1076	401	411	606	1587	1112	764	659	785	753	1147	1061	1010	526	498	1172	298	392	426	447	358	1098	353	1105	
17	10	18	10	15	11	4	2	18	4	2	8	36	14	14	5	5	9	8	10	10	1	9	28	3	15	7	3	8	15	7	9	
4	4	0	1	3	1	0	0	1	3	2	0	1	0	2	1	3	0	2	4	3	1	2	1	1	1	1	1	1	1	2	1	
5	1	3	3	1	2	3	2	4	0	0	4	8	3	1	1	3	0	2	4	2	2	0	7	2	1	2	3	1	2	0	1	
3	2	4	1	3	0	2	0	6	0	1	0	7	2	5	2	4	1	1	2	0	1	1	11	2	4	1	4	4	3	7	3	
