"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	
1542	1326	1290	1417	1521	1563	1306	1579	1300	1471	1306	1482	1821	1699	1595	
1500	1300	1300	1300	1500	1500	1300	1500	1300	1500	1300	1500	1700	1600	1600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
963	811	759	890	850	991	771	945	710	940	738	897	1083	996	991	
58	60	57	57	94	43	64	64	45	55	73	64	57	54	52	
479	429	484	353	556	466	465	489	545	505	489	539	560	550	556	
58	60	57	57	94	43	64	64	45	55	73	64	57	54	52	
962	811	759	890	850	990	770	944	710	940	738	897	1083	996	991	
10	7	9	11	12	10	1	4	6	12	7	10	16	11	10	
1010	864	807	936	932	1023	833	1004	749	983	804	951	1124	1039	1033	
0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	10	11	6	7	9	4	7	6	5	7	7	7	10	4	
95	96	70	98	96	103	92	122	87	103	87	96	118	96	122	
48	51	54	53	84	62	76	64	61	67	52	70	71	59	61	
797	661	631	745	711	793	627	751	553	755	620	735	855	826	791	
20	23	25	11	18	18	9	21	25	20	18	17	34	22	25	
8	9	1	10	5	5	9	8	4	4	6	6	13	6	9	
20	9	9	7	5	17	9	13	8	6	4	15	6	13	12	
6	5	6	6	6	16	7	18	5	23	10	5	20	7	9	
