"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	
864	443	513	605	359	447	644	647	670	131	703	768	730	833	652	365	236	540	543	497	
940	510	565	620	380	455	675	710	700	135	725	795	765	900	675	415	250	585	542	542	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
533	312	260	414	252	239	365	368	536	98	394	508	402	539	458	271	186	310	357	229	
113	70	113	53	38	50	46	81	25	9	46	56	52	64	71	39	11	75	40	106	
294	128	192	153	90	166	264	261	139	28	285	231	311	297	146	105	53	200	145	207	
113	70	113	53	38	50	46	81	25	9	46	56	52	64	71	39	11	75	40	106	
532	312	260	414	252	235	365	368	536	98	394	508	402	539	458	271	186	309	357	229	
3	2	0	9	1	4	5	8	8	1	4	14	9	5	2	0	0	4	4	0	
642	380	373	458	289	281	406	441	553	106	436	550	445	598	527	310	197	380	393	335	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	0	5	0	1	0	2	4	2	1	4	4	3	2	3	1	0	1	4	1	
52	38	65	108	31	54	49	87	70	5	83	112	98	102	105	22	6	32	56	98	
50	18	41	27	23	24	24	31	25	0	36	29	25	37	25	10	3	18	19	23	
517	322	250	309	227	195	319	308	449	100	307	392	311	452	388	275	186	327	309	208	
7	1	4	2	3	1	4	3	1	0	3	5	3	2	5	2	0	1	0	4	
3	1	5	5	3	4	5	2	2	0	1	3	0	1	0	0	2	0	5	0	
5	0	3	7	0	1	0	4	2	0	1	2	4	0	1	0	0	0	0	0	
2	0	0	0	1	2	3	2	2	0	1	3	1	2	0	0	0	1	0	1	
