"УИК №1696"	"УИК №1697"	"УИК №1698"	"УИК №1699"	"УИК №1700"	"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	
1218	1128	1452	364	290	341	350	95	405	1388	1073	79	226	359	134	301	637	51	245	349	
1130	1000	1350	360	300	320	320	80	380	1300	1000	70	240	330	130	270	600	50	240	330	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
789	700	899	270	252	245	264	67	294	842	608	56	163	223	79	240	430	43	189	255	
65	90	63	20	16	27	17	1	23	94	68	8	13	26	11	9	48	0	13	16	
276	210	388	70	32	48	39	12	63	364	324	6	64	81	40	21	122	7	38	59	
65	90	63	20	16	27	17	1	23	94	68	8	13	26	11	9	48	0	13	16	
789	700	899	270	252	245	264	67	294	842	608	56	163	223	79	240	430	43	189	255	
15	11	18	4	2	4	3	0	2	13	8	0	1	1	2	6	8	0	2	3	
839	779	944	286	266	268	278	68	315	923	668	64	175	248	88	243	470	43	200	268	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	5	3	4	0	2	0	3	3	4	0	0	0	0	3	5	0	2	2	
201	209	230	46	62	81	22	8	76	243	162	13	52	63	23	61	82	3	43	74	
65	67	71	19	18	22	29	13	34	56	57	8	8	17	12	14	32	3	12	36	
548	490	622	213	180	156	219	46	199	604	437	43	112	165	52	162	335	37	142	153	
10	3	5	4	1	3	0	0	0	2	2	0	3	1	0	2	5	0	0	2	
1	2	4	0	1	4	4	1	1	10	4	0	0	1	0	0	4	0	0	0	
5	2	4	1	0	0	2	0	1	2	0	0	0	0	1	0	2	0	1	0	
7	0	3	0	0	2	0	0	1	3	2	0	0	1	0	1	5	0	0	1	
