"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	
1775	1725	250	102	353	163	187	205	304	306	209	839	239	997	369	305	153	320	179	400	454	598	225	492	667	
1560	1500	214	90	300	142	155	178	267	275	178	727	202	900	348	270	147	287	145	355	400	525	192	444	605	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1094	1087	156	70	172	70	91	110	133	119	90	502	130	626	213	205	81	170	83	235	216	322	114	273	361	
134	130	57	16	52	34	40	55	81	105	78	115	55	135	83	40	41	90	62	105	78	102	66	137	134	
332	283	1	4	76	38	24	13	53	51	10	110	17	139	52	25	25	27	0	15	106	101	12	34	110	
134	130	57	16	52	34	40	55	81	105	78	115	55	135	83	40	41	90	62	105	78	102	66	137	134	
1094	1087	156	70	172	70	91	110	133	119	90	502	130	626	213	205	81	170	83	235	216	322	114	273	361	
20	5	4	2	4	1	0	1	0	0	0	6	0	3	3	3	1	0	1	1	4	4	0	5	7	
1208	1212	209	84	220	103	131	164	214	224	168	611	185	758	293	242	121	260	144	339	290	420	180	405	488	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	11	0	0	3	0	0	0	1	4	0	5	2	2	0	2	1	3	1	4	0	1	0	2	1	
90	126	3	2	22	8	11	8	14	12	9	40	10	77	8	12	8	25	6	36	29	37	6	21	32	
63	57	4	2	12	3	1	6	9	7	9	34	13	41	10	3	10	17	4	10	21	27	5	28	26	
1032	1003	200	77	182	92	117	150	184	197	149	520	157	633	271	222	100	212	130	287	231	352	167	350	422	
7	6	1	1	1	0	1	0	1	1	0	3	0	3	0	3	0	1	2	0	8	1	1	2	4	
6	4	1	0	0	0	0	0	2	2	0	7	2	1	2	0	1	2	0	1	0	2	1	0	2	
2	2	0	1	0	0	0	0	0	0	0	2	0	1	1	0	1	0	1	1	1	0	0	2	1	
3	3	0	1	0	0	1	0	3	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
