"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	
909	1546	1241	1386	1094	1277	1500	1039	782	1637	1409	1193	483	1820	821	617	1092	1874	440	464	1504	461	100	
800	1410	1150	1200	950	1150	1300	900	700	1100	1150	1150	450	1650	800	600	1000	1700	400	400	1400	400	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
753	1203	1021	978	840	1065	1036	830	640	1027	1059	981	384	1256	715	536	835	1469	314	367	1156	288	27	
20	29	34	21	26	31	45	27	23	14	37	32	30	95	18	21	55	73	20	28	52	13	73	
27	178	95	201	84	54	219	43	37	59	54	137	36	299	67	43	110	158	66	5	192	99	0	
20	29	34	21	26	31	45	27	23	14	37	32	30	95	18	21	55	73	20	28	52	13	73	
753	1203	1021	978	840	1065	1036	830	640	1027	1059	981	384	1256	715	536	835	1469	314	367	1156	288	27	
9	20	9	17	6	9	10	3	2	28	20	18	10	24	6	8	20	25	5	12	27	7	1	
764	1212	1046	982	860	1087	1071	854	661	1013	1076	995	404	1327	727	549	870	1517	329	383	1181	294	99	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	7	4	2	0	2	3	1	0	4	2	1	0	5	0	1	4	0	2	1	1	0	1	
19	55	48	25	27	24	28	27	14	13	20	30	3	40	24	8	21	33	8	7	23	3	1	
13	26	15	40	21	15	21	15	5	11	22	9	8	15	12	7	8	22	5	4	25	3	4	
712	1083	927	884	797	1026	999	793	630	940	1005	908	383	1213	667	515	809	1404	298	347	1105	282	81	
13	19	21	16	10	14	12	10	10	31	15	23	6	37	12	11	13	50	12	18	20	3	8	
3	1	5	3	2	1	3	3	0	0	5	2	2	3	1	2	3	1	0	1	2	1	1	
4	5	9	6	1	1	1	3	0	3	4	4	0	2	7	1	5	2	0	2	0	1	0	
0	16	17	6	2	4	4	2	2	11	3	18	2	12	4	4	7	5	4	3	5	1	3	
