"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	
2178	1805	1602	1127	438	687	530	1192	509	693	479	518	602	1192	309	
1800	1500	1300	1000	400	600	500	1000	500	600	400	500	500	1100	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1284	1057	949	621	261	408	304	643	269	390	269	315	332	682	187	
65	60	39	32	11	24	9	12	26	24	9	12	21	26	4	
451	383	312	347	128	168	187	345	205	186	122	173	147	392	109	
65	60	39	32	11	24	9	12	26	24	9	12	21	26	4	
1284	1057	948	621	261	408	304	643	269	390	269	315	332	682	187	
22	19	22	7	1	5	2	7	5	10	6	1	3	8	3	
1327	1098	965	646	271	427	311	648	290	404	272	326	350	700	188	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	2	5	1	1	2	1	5	0	3	4	1	2	7	1	
126	81	112	60	21	43	14	81	28	49	26	33	19	56	13	
93	68	66	48	22	25	24	48	29	32	20	14	20	53	17	
1061	885	746	528	223	344	269	493	226	310	212	273	298	566	155	
20	32	16	5	1	5	2	8	4	6	6	2	6	9	0	
5	9	3	4	1	4	0	3	0	2	2	2	3	2	0	
4	9	5	0	1	3	0	5	3	2	2	0	1	2	0	
14	12	12	0	1	1	1	5	0	0	0	1	1	5	2	
