"УИК №3361"	"УИК №3362"	"УИК №3363"	"УИК №3364"	"УИК №3365"	"УИК №3366"	"УИК №3367"	"УИК №3368"	"УИК №3369"	"УИК №3370"	"УИК №3371"	"УИК №3372"	"УИК №3373"	"УИК №3374"	"УИК №3375"	"УИК №3377"	"УИК №3378"	"УИК №3379"	"УИК №3380"	"УИК №3381"	"УИК №3382"	"УИК №3383"	"УИК №3384"	"УИК №3386"	"УИК №3387"	"УИК №3388"	"УИК №3389"	"УИК №3390"	"УИК №3391"	"УИК №3392"	"УИК №3393"	"УИК №3394"	"УИК №3395"	"УИК №3396"	"УИК №3397"	"УИК №3398"	"УИК №3399"	"УИК №3400"	"УИК №3401"	"УИК №3402"	"УИК №3403"	"УИК №3404"	"УИК №3479"	
348	274	171	343	136	494	462	444	238	388	267	198	304	778	166	524	280	361	135	343	176	190	577	161	567	100	348	288	286	192	134	280	407	218	681	397	1100	1198	1039	871	598	132	433	
357	285	176	349	138	518	484	482	245	408	269	204	312	795	168	539	289	369	139	351	171	194	595	171	573	95	355	295	296	196	139	278	420	228	705	411	1171	1257	1078	910	625	141	439	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
304	247	155	284	107	449	412	356	186	331	249	175	265	692	146	428	220	323	109	296	145	160	504	144	476	86	320	245	250	158	115	255	314	156	630	342	842	1005	874	772	470	107	393	
15	13	5	18	9	20	25	27	10	25	13	15	10	29	11	37	22	27	17	16	19	19	30	8	40	9	15	17	17	22	6	11	33	24	31	17	57	14	32	17	37	16	5	
38	25	16	47	22	49	47	99	49	52	7	14	37	74	11	74	47	19	13	39	7	15	61	19	57	0	20	33	29	16	18	12	73	48	44	52	272	238	172	121	118	18	41	
15	13	5	18	9	20	25	27	10	25	13	15	10	29	11	37	22	27	17	16	19	19	30	8	40	9	15	17	17	22	6	11	33	24	31	17	57	14	32	17	37	16	5	
304	247	155	284	107	449	412	356	186	331	249	175	265	692	146	428	220	323	109	296	145	160	504	144	476	86	320	245	250	158	115	255	314	156	630	342	842	1005	874	772	470	107	393	
0	0	0	0	0	6	0	1	0	0	0	3	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	11	18	12	1	2	0	0	
319	260	160	302	116	463	437	382	196	356	262	187	275	721	157	465	239	346	126	312	164	179	534	152	516	95	335	262	267	180	119	266	343	180	661	359	888	1001	894	788	505	123	398	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	1	0	1	4	3	3	0	1	1	0	3	1	1	3	0	1	0	2	0	0	0	0	1	1	1	1	0	0	1	0	4	0	4	2	13	10	7	1	2	0	2	
45	40	15	37	11	116	50	45	17	24	44	26	44	55	16	42	29	50	20	38	8	19	74	15	84	11	57	26	45	9	5	11	59	34	59	52	182	222	188	165	38	10	87	
25	8	5	17	3	7	6	6	5	17	4	6	9	33	7	11	17	10	4	15	1	14	6	2	6	3	2	12	19	3	1	5	14	15	5	4	51	45	35	30	24	4	15	
239	208	137	245	96	331	374	325	173	312	207	152	216	623	133	396	188	275	99	254	155	143	454	134	418	79	273	222	198	164	111	248	258	127	573	294	617	701	638	574	431	109	289	
4	0	0	0	1	3	1	2	1	1	3	0	2	2	0	2	1	5	1	0	0	0	0	0	3	0	1	0	0	3	1	0	0	3	2	1	5	8	6	4	3	0	2	
3	1	1	2	3	0	1	1	0	0	2	0	0	2	0	6	0	5	1	2	0	3	0	1	2	1	1	0	2	0	0	2	5	1	8	3	7	5	16	5	6	0	2	
3	0	0	1	1	0	1	0	0	0	0	0	1	2	0	3	4	0	1	1	0	0	0	0	2	0	0	1	3	1	0	0	3	0	8	1	13	7	3	7	1	0	1	
0	2	1	0	0	2	1	0	0	1	1	3	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	1	2	0	0	0	
