"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	
1942	2080	1927	1600	2136	2441	2200	2421	2003	2090	2289	2548	1742	1721	1673	1804	2088	1328	1873	1811	1607	1518	2712	2996	2281	2618	2325	2144	2389	1998	2012	1716	1954	1661	2664	2001	1941	1836	1712	1972	3154	2431	2170	1907	2286	2050	2956	2741	2765	2831	
1900	2000	1900	1500	2100	2300	2100	2100	2000	2000	2200	2400	1600	1600	1600	1700	2000	1100	1800	1800	1500	1300	2600	2600	2200	2400	2100	1800	2300	1900	1900	1700	1900	1500	2500	1900	1800	1800	1700	1900	2800	2400	2200	1800	1700	1900	2800	2800	2800	2700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1121	1149	1108	895	1068	1477	1290	1408	1167	1105	1294	1427	977	979	922	1016	1118	809	995	1181	835	856	1398	1821	1294	1573	1416	1379	1432	1208	1196	885	1131	891	1495	1059	1136	968	882	1046	1590	1061	1177	1109	1624	862	2000	1710	1933	1879	
31	35	17	16	11	28	16	8	12	25	28	37	39	22	15	12	11	10	17	6	19	28	35	22	17	34	30	7	22	18	23	22	17	21	17	43	5	25	35	22	10	22	22	9	7	20	3	1	0	6	
748	816	775	589	1021	795	794	684	821	870	878	936	584	599	663	672	871	281	788	613	646	416	1167	757	889	793	654	414	846	674	681	793	752	588	988	798	659	807	783	832	1200	1317	1001	682	69	1018	797	1089	867	815	
31	35	17	16	11	28	16	8	12	25	28	37	39	22	15	12	11	10	17	6	19	28	35	22	17	34	30	7	22	18	23	22	17	21	17	43	5	25	35	22	10	22	22	9	7	20	3	1	0	6	
1121	1149	1108	895	1068	1477	1286	1408	1167	1105	1294	1426	977	978	919	1016	1118	809	995	1181	835	856	1397	1815	1294	1572	1416	1379	1432	1207	1196	885	1131	890	1493	1059	1136	968	882	1046	1590	1061	1177	1109	1624	862	1999	1708	1932	1879	
6	15	7	13	9	22	19	23	17	9	12	17	12	14	14	13	22	12	13	9	19	13	11	24	10	15	17	19	11	19	20	12	13	9	69	18	8	12	12	15	25	12	10	15	31	10	55	5	18	16	
1146	1169	1118	898	1070	1483	1283	1393	1162	1121	1310	1446	1004	986	920	1015	1107	807	999	1178	835	871	1421	1813	1301	1591	1429	1367	1443	1206	1199	895	1135	902	1441	1084	1133	981	905	1053	1575	1071	1189	1103	1600	872	1947	1704	1914	1869	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	11	11	10	8	10	14	13	11	15	8	15	10	9	6	10	14	9	9	11	8	7	14	11	14	13	14	18	12	10	11	3	12	5	11	6	7	7	9	9	12	6	11	8	7	3	7	7	12	11	
278	251	287	198	279	308	293	294	250	265	300	289	199	193	208	266	254	156	257	262	180	177	315	358	324	426	339	304	335	264	280	183	246	243	342	224	270	245	186	247	417	268	300	251	249	221	425	331	374	327	
50	61	48	39	63	93	74	84	72	61	92	77	48	53	54	49	61	45	48	36	51	49	46	80	57	67	49	70	49	45	41	28	53	57	75	53	70	56	60	51	111	70	65	65	162	61	132	117	122	108	
730	766	712	593	669	988	814	929	770	715	820	982	676	671	594	617	708	537	630	819	534	577	970	1266	837	957	893	876	922	787	787	612	751	536	895	737	712	609	596	680	942	680	739	729	1103	549	1323	1171	1338	1369	
37	37	28	21	24	34	40	29	35	25	45	41	29	23	17	33	34	32	25	17	27	29	33	41	32	66	53	60	62	46	40	24	32	17	63	29	35	29	26	36	51	23	29	19	38	15	24	24	40	29	
11	9	9	5	4	7	7	10	4	8	8	9	8	6	10	4	5	3	7	5	5	4	13	12	2	9	9	7	11	8	8	7	9	9	13	6	4	7	3	7	5	7	8	6	8	6	9	18	4	2	
12	16	10	17	10	12	15	13	12	17	13	13	13	16	16	20	13	12	6	10	14	19	16	13	19	20	19	17	21	20	13	20	9	12	19	10	11	17	11	8	24	5	12	16	16	6	9	24	14	15	
19	18	13	15	13	31	26	21	8	15	24	20	21	15	15	16	18	13	17	18	16	9	14	32	16	33	53	15	31	26	19	18	23	23	23	19	24	11	14	15	13	12	25	9	17	11	18	12	10	8	
