"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	
1821	1508	1621	2063	1893	728	136	152	818	610	1184	726	289	1563	801	616	684	288	661	
1700	1400	1400	1900	1700	700	150	150	800	600	1000	600	300	1450	750	600	650	290	663	
304	0	0	0	0	0	18	0	0	0	0	0	0	15	36	26	0	0	0	
675	711	922	1236	951	436	92	106	477	370	650	335	193	816	354	287	391	174	605	
44	62	50	45	47	45	7	3	53	62	86	125	13	110	78	100	104	9	0	
677	627	428	619	702	219	33	41	270	168	264	140	94	509	282	187	155	107	58	
348	62	50	45	47	45	25	3	53	62	86	125	13	125	114	126	104	9	0	
675	709	921	1236	951	436	92	106	477	370	650	335	193	816	354	287	391	174	605	
31	13	16	23	34	4	3	2	16	17	23	12	3	20	6	8	11	3	10	
992	758	955	1258	964	477	114	107	514	415	713	448	203	921	462	405	484	180	595	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	4	2	6	5	2	1	0	1	0	7	6	0	8	2	6	3	0	2	
228	183	189	303	199	55	15	10	120	99	178	97	41	229	85	97	65	32	107	
120	94	108	132	144	62	13	12	75	57	108	59	28	120	57	58	69	37	88	
627	460	630	784	598	354	81	84	309	250	405	270	129	547	307	241	339	110	389	
8	6	4	8	6	1	2	1	6	4	5	6	1	6	2	2	3	1	5	
2	3	7	9	6	1	1	0	1	1	7	8	2	6	5	0	3	0	0	
2	2	9	6	2	1	1	0	1	1	0	0	1	2	2	1	1	0	3	
5	6	6	10	4	1	0	0	1	3	3	2	1	3	2	0	1	0	1	
