"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	
2858	2667	1463	497	531	728	63	429	179	118	67	197	648	464	463	576	461	645	891	194	359	345	626	1530	439	622	1350	451	511	230	419	
2920	2740	1520	530	530	790	70	470	190	130	70	210	680	510	500	610	520	710	930	220	380	360	670	1620	470	670	1490	470	530	260	430	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1549	1384	852	238	253	437	13	246	90	60	39	120	408	240	211	136	249	468	596	135	247	151	337	826	327	323	813	292	370	159	297	
159	169	149	136	184	74	38	47	59	44	14	33	113	121	124	152	102	123	125	23	65	105	151	320	30	129	272	81	82	29	96	
1212	1187	519	156	93	279	19	177	41	26	17	57	159	149	165	322	169	119	209	62	68	104	182	474	113	218	405	97	78	72	37	
159	169	149	136	184	74	38	47	59	44	14	33	113	121	124	152	102	123	125	23	65	105	151	320	30	129	272	81	82	29	96	
1549	1381	852	238	253	437	13	246	90	60	39	120	408	240	211	136	249	468	596	135	247	151	337	826	327	323	813	292	370	159	297	
13	22	9	2	2	4	0	5	0	0	0	0	12	2	0	0	1	6	3	0	0	0	2	9	0	0	2	2	0	0	0	
1695	1528	992	372	435	507	51	288	149	104	53	153	509	359	335	288	350	585	718	158	312	256	486	1137	357	452	1083	371	452	188	393	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	9	2	5	1	0	0	0	1	1	0	0	3	0	1	2	1	4	9	0	1	2	7	3	1	3	6	1	1	0	0	
165	169	127	16	25	47	1	32	5	8	3	8	31	28	16	26	17	25	90	7	14	26	40	135	29	43	98	13	34	1	18	
97	99	54	22	28	37	0	26	6	0	1	5	35	26	10	23	21	10	43	6	17	9	34	53	11	25	78	28	14	5	20	
1398	1214	789	323	377	413	50	229	136	95	49	138	431	302	304	234	307	541	568	145	274	215	399	923	312	374	887	325	395	180	349	
10	18	4	1	1	4	0	1	0	0	0	0	4	0	1	1	2	2	1	0	1	0	3	10	2	1	2	0	6	0	2	
11	11	12	3	2	3	0	0	1	0	0	1	2	3	2	2	1	1	4	0	5	2	2	6	2	3	5	3	2	2	3	
4	5	2	2	0	2	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	1	1	3	0	1	4	1	0	0	1	
3	3	2	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	2	0	0	1	0	4	0	2	3	0	0	0	0	
